ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Udumalpet,111,GEN,"Sadiqpasha, S.J.",Dravida Munetra Kazhagam,"1,61,620","1,24,423",77.00%,"8,405",5.2
Dharapuram,112,SC,"Santhakumari, T.",Dravida Munetra Kazhagam,"1,44,747","1,03,687",71.60%,"1,436",0.99
Vellakoil,113,GEN,Durai Ramasamy,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,44,979","1,13,601",78.40%,"5,380",3.71
Pongalur,114,GEN,"Balasubramoniyam, S.R.",Indian National Congress,"1,30,422","1,00,882",77.40%,440,0.34
Palladam,115,GEN,"Kanappan, M.",Dravida Munetra Kazhagam,"1,59,768","1,18,406",74.10%,"13,576",8.5
Tiruppur,116,GEN,"Govindasamy, C.",Communist Party Of India (MARXIST),"2,22,283","1,64,303",73.90%,"17,379",7.82
Kangayam,117,GEN,"Marappan, P.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,48,106","1,11,104",75.00%,"7,671",5.18
Modakurichi,118,GEN,"Ganesamoorthy, A.",Dravida Munetra Kazhagam,"1,72,990","1,33,933",77.40%,"16,007",9.25
Perundurai,119,GEN,V.N. Subramanian Son Of Nachmuthu Gounder,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,50,170","1,16,132",77.30%,"14,698",9.79
Erode,120,GEN,Subbulakshmi Jagadesan,Dravida Munetra Kazhagam,"2,37,642","1,66,391",70.00%,"22,198",9.34
Bhavani,121,GEN,G.G. Gurumoorthy,Independent,"1,40,948","88,362",62.70%,"16,853",11.96
Andhiyur,122,SC,"Perisamy, V.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,32,166","73,411",55.50%,"1,962",1.48
Gobichettipalayam,123,GEN,"Sengottayan, K.A.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,31,675","99,717",75.70%,"14,244",10.82
Bhavanisagar,124,GEN,"Chinnasamy, V.K.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,40,475","1,08,724",77.40%,"7,420",5.28
Sathyamangalam,125,GEN,"Subramaniam, T.K.",Dravida Munetra Kazhagam,"1,34,394","99,275",73.90%,"1,087",0.81
Coonoor,126,SC,"Thangavel, N.",Dravida Munetra Kazhagam,"1,38,919","98,506",70.90%,"11,160",8.03
Ootacamund,127,GEN,Raju H.M.,Indian National Congress,"1,41,234","98,433",69.70%,806,0.57
Gudalur,128,GEN,"Kareem, M.K.",Indian National Congress,"1,58,479","1,16,087",73.30%,"1,280",0.81
