ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Palayamcottai,219,GEN,"Gurunathan, S.",Dravida Munetra Kazhagam,"1,51,200","1,00,754",66.60%,"2,431",1.61
Cheranmahadevi,220,GEN,"Pandian, P.N.",All India Anna Dravida Munnetra Kazhagam(JANAKI RAMACHANDRAN),"1,24,735","98,044",78.60%,700,0.56
Ambasamudram,221,GEN,"Ravi Arunan, K.",Indian National Congress,"1,25,960","93,391",74.10%,"4,103",3.26
Nanguneri,222,GEN,"Achiyur, M. Mani",Dravida Munetra Kazhagam,"1,42,173","96,397",67.80%,"1,493",1.05
Radhapuram,223,GEN,Ramani Nallathambi,Indian National Congress,"1,43,444","93,027",64.90%,"4,502",3.14
Sattangulam,224,GEN,Kumari Anathan,Indian National Congress,"1,37,325","88,110",64.20%,"1,196",0.87
Tiruchendur,225,GEN,"Kandasamy, K.P.",Dravida Munetra Kazhagam,"1,53,655","1,00,228",65.20%,"17,181",11.18
Srivaikuntam,226,GEN,"Deniel Raj, S.",Indian National Congress,"1,27,689","88,192",69.10%,"3,472",2.72
Tuticorin,227,GEN,N. Periasamy,Dravida Munetra Kazhagam,"1,80,816","1,25,982",69.70%,547,0.3
Kanniyakumari,228,GEN,"Subramonia Pillai, K.",Dravida Munetra Kazhagam,"1,40,558","97,815",69.60%,"2,339",1.66
Nagercoil,229,GEN,M. Moses,Indian National Congress,"1,56,744","1,04,688",66.80%,"6,865",4.38
Colachel,230,GEN,Pauliah-A.,Indian National Congress,"1,41,330","94,459",66.80%,"12,197",8.63
Padmanabhapuram,231,GEN,"Noor Mohmed, S.",Communist Party Of India (MARXIST),"1,25,883","79,874",63.50%,"1,314",1.04
Thiruvattar,232,GEN,"R, Nadesan",Indian National Congress,"1,29,184","87,245",67.50%,"8,109",6.28
Vilavancode,233,GEN,"Sundaradas, M.",Indian National Congress,"1,55,021","98,833",63.80%,"1,214",0.78
Killiyoor,234,GEN,"Vijayaraghavan, Pon",Independent,"1,21,736","76,906",63.20%,"9,831",8.08
