ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Gummidipoondi,1,GEN,Thiruvallur,Govindarajan T.J,Dravida Munetra Kazhagam,"2,67,255","2,20,286",82.40%,50938,23.10%,
Ponneri,2,SC,Thiruvallur,Durai. Chandrasekar,Indian National Congress,"2,54,351","2,08,800",82.10%,9689,4.60%,
Tiruttani,3,GEN,Thiruvallur,S.Chandran,Dravida Munetra Kazhagam,"2,76,906","2,30,959",83.40%,29253,12.70%,
Thiruvallur,4,GEN,Thiruvallur,"Raajendran, V.G.",Dravida Munetra Kazhagam,"2,60,870","2,12,371",81.40%,22701,10.70%,
Poonamallee,5,SC,Thiruvallur,Krishnaswamy A,Dravida Munetra Kazhagam,"3,32,331","2,60,869",78.50%,94110,36.10%,
Avadi,6,GEN,Thiruvallur,Nasar S M,Dravida Munetra Kazhagam,"4,09,701","2,98,546",72.90%,55275,18.50%,
Maduravoyal,7,GEN,Thiruvallur,Ganapathy.K,Dravida Munetra Kazhagam,"4,13,109","2,71,724",65.80%,31721,11.70%,
Ambattur,8,GEN,Thiruvallur,Joseph Samuel,Dravida Munetra Kazhagam,"3,61,656","2,37,941",65.80%,42146,17.70%,
Madavaram,9,GEN,Thiruvallur,Sudharsanam. S,Dravida Munetra Kazhagam,"4,22,016","3,00,534",71.20%,57071,19.00%,
Thiruvottiyur,10,GEN,Thiruvallur,K.P.Shankar,Dravida Munetra Kazhagam,"2,87,777","1,98,885",69.10%,37661,18.90%,
Dr.Radhakrishnan Nagar,11,GEN,Chennai,Ebenezer. J.J. (@) JOHN EBENEZER.J,Dravida Munetra Kazhagam,"2,48,518","1,85,323",74.60%,42479,22.90%,
Perambur,12,GEN,Chennai,Shekar. R.D,Dravida Munetra Kazhagam,"2,93,597","1,98,872",67.70%,54976,27.60%,
Kolathur,13,GEN,Chennai,M.K. Stalin,Dravida Munetra Kazhagam,"2,68,296","1,71,859",64.10%,70384,41.00%,
Villivakkam,14,GEN,Chennai,A . Vetriazhagan,Dravida Munetra Kazhagam,"2,48,131","1,42,648",57.50%,37237,26.10%,
Thiru-Vi-Ka-Nagar,15,SC,Chennai,Sivakumar.P,Dravida Munetra Kazhagam,"2,10,344","1,32,650",63.10%,55013,41.50%,
Egmore,16,SC,Chennai,I.Paranthamen,Dravida Munetra Kazhagam,"1,81,071","1,18,095",65.20%,38768,32.80%,
Royapuram,17,GEN,Chennai,Murthy.R.Idream,Dravida Munetra Kazhagam,"1,78,693","1,20,290",67.30%,27779,23.10%,
Harbour,18,GEN,Chennai,Sekarbabu. P.K,Dravida Munetra Kazhagam,"1,68,538","1,00,738",59.80%,27274,27.10%,
Chepauk-Thiruvallikeni,19,GEN,Chennai,Udhayanidhi Stalin,Dravida Munetra Kazhagam,"2,26,272","1,35,344",59.80%,69355,51.20%,
Thousand Lights,20,GEN,Chennai,Ezhilan N,Dravida Munetra Kazhagam,"2,33,867","1,34,555",57.50%,32462,24.10%,
