ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Royapuram,1,GEN,"Jayakumar,d.",All India Anna Dravida Munnetra Kazhagam,"1,37,772","95,090",69.02,13503,14.20%,
Harbour,2,GEN,"Anbazhagan, K.",Dravida Munetra Kazhagam,"1,05,115","60,007",57.09,410,0.70%,
Dr. Radhakrishnan Nagar,3,GEN,"Sekar Babu, P.K.",All India Anna Dravida Munnetra Kazhagam,"2,39,326","1,67,730",70.08,18063,10.80%,
Park Town,4,GEN,"Srinivasan, K.",All India Anna Dravida Munnetra Kazhagam,"1,17,016","72,915",62.31,6357,8.70%,
Perambur,5,SC,"Mahendran, K.",Communist Party Of India (Marxist),"2,68,704","1,82,631",67.97,2788,1.50%,
Purasawalkam,6,GEN,"Babu, V.S.",Dravida Munetra Kazhagam,"2,94,352","1,91,680",65.12,7385,3.90%,
Egmore,7,SC,Parithi Ellamvazhuthi,Dravida Munetra Kazhagam,"1,22,297","79,326",64.86,6480,8.20%,
Anna Nagar,8,GEN,Arcot Veerasamy,Dravida Munetra Kazhagam,"3,52,829","2,17,235",61.57,12390,5.70%,
Theagaraya Nagar,9,GEN,"Kalairajan, V.P.",All India Anna Dravida Munnetra Kazhagam,"2,42,771","1,52,680",62.89,16477,10.80%,
Thousand Lights,10,GEN,"Stalin, M.K.",Dravida Munetra Kazhagam,"1,69,506","1,08,295",63.89,2468,2.30%,
Chepauk,11,GEN,"Karunanidhi, M.",Dravida Munetra Kazhagam,"1,05,252","67,082",63.73,8526,12.70%,
Triplicane,12,GEN,Bader Sayeed,All India Anna Dravida Munnetra Kazhagam,"1,32,523","85,505",64.52,2776,3.20%,
Mylapore,13,GEN,"Shekher, S.Ve.",All India Anna Dravida Munnetra Kazhagam,"2,35,246","1,47,345",62.63,1667,1.10%,
Saidapet,14,GEN,"Senthamizhan, G.",All India Anna Dravida Munnetra Kazhagam,"2,48,483","1,64,396",66.16,5905,3.60%,
Gummidipundi,15,GEN,Vijayakumar.K.S,All India Anna Dravida Munnetra Kazhagam,"1,95,425","1,56,263",79.96,229,0.10%,
Ponneri,16,SC,Balaramanan.P,All India Anna Dravida Munnetra Kazhagam,"2,48,155","1,75,234",70.61,11089,6.30%,
Thiruvottiyur,17,GEN,Samy. K.P.P,Dravida Munetra Kazhagam,"4,96,267","3,41,404",68.79,3447,1.00%,
Villivakkam,18,GEN,Ranganathan. B,Dravida Munetra Kazhagam,"9,41,112","6,11,251",64.95,30116,4.90%,
Alandur,19,GEN,"Anbarasan, T. M",Dravida Munetra Kazhagam,"4,31,953","2,84,421",65.85,17910,6.30%,
Tambaram,20,GEN,"Raja, S.R",Dravida Munetra Kazhagam,"8,72,877","5,61,918",64.38,48752,8.70%,
Tirupporur,21,SC,"Moorthy, D",Pattali Makkal Katchi,"2,47,954","1,62,708",65.62,10164,6.20%,
Chengalpattu,22,GEN,"Arumugam, K",Pattali Makkal Katchi,"1,78,466","1,27,479",71.43,10213,8.00%,
Maduranthakam,23,GEN,"Ghayathri Devi, K",Indian National Congress,"1,54,532","1,17,418",75.98,3691,3.10%,
Acharapakkam,24,SC,Sankara Valli @ Sankari Narayanan,Dravida Munetra Kazhagam,"1,46,977","1,09,003",74.16,15856,14.50%,
Uthiramerur,25,GEN,"Sundar,k",Dravida Munetra Kazhagam,"1,82,455","1,44,600",79.25,12016,8.30%,
Kancheepuram,26,GEN,"Kamalambal, P",Pattali Makkal Katchi,"2,39,201","1,72,828",72.25,11284,6.50%,
Sriperumbudur,27,SC,"Yasodha, D",Indian National Congress,"2,38,710","1,60,042",67.04,17794,11.10%,
Poonamallee,28,GEN,Sudarsanam.D,Indian National Congress,"3,36,248","2,04,112",60.7,15330,7.50%,
Tiruvallur,29,GEN,Shivaji. E.A.P,Dravida Munetra Kazhagam,"1,88,609","1,33,734",70.91,8924,6.70%,
Tiruttani,30,GEN,Hari.G,All India Anna Dravida Munnetra Kazhagam,"1,64,790","1,22,823",74.53,916,0.70%,
Pallipet,31,GEN,Raman. E.S.S,Indian National Congress,"1,73,462","1,26,680",73.03,7315,5.80%,
Arkonam,32,SC,Jaganmoorthy.M,Dravida Munetra Kazhagam,"1,90,314","1,40,786",73.98,7556,5.40%,
Sholinghur,33,GEN,"Arul Anbarasu,d",Indian National Congress,"1,80,495","1,38,114",76.52,7916,5.70%,
Ranipet,34,GEN,"Gandhi,r",Dravida Munetra Kazhagam,"2,27,170","1,68,364",74.11,32095,19.10%,
Arcot,35,GEN,Elavazhagan.K.L,Pattali Makkal Katchi,"1,60,759","1,23,711",76.95,11317,9.10%,
Katpadi,36,GEN,Duraimurugan,Dravida Munetra Kazhagam,"2,14,702","1,51,135",70.39,35147,23.30%,
Gudiyatham,37,GEN,Latha.G,Communist Party Of India (Marxist),"1,78,024","1,21,384",68.18,1650,1.40%,
Pernambut,38,SC,Chinnasamy.A,Dravida Munetra Kazhagam,"1,88,543","1,31,495",69.74,16915,12.90%,
Vaniayambadi,39,GEN,Abdul Basith.H,Dravida Munetra Kazhagam,"1,89,807","1,31,368",69.21,24184,18.40%,
Natrampalli,40,GEN,Sooriyakumar.N.K.R,Dravida Munetra Kazhagam,"2,10,823","1,54,927",73.49,17243,11.10%,
Tiruppattur,41,GEN,Raja.T.K,Pattali Makkal Katchi,"2,10,399","1,47,772",70.23,13739,9.30%,
Chengam,42,SC,Polur Varadhan M,Indian National Congress,"1,75,158","1,24,844",71.28,10200,8.20%,
Thandarambattu,43,GEN,Velu E.V,Dravida Munetra Kazhagam,"1,87,339","1,43,980",76.86,30701,21.30%,
Tiruvannamalai,44,GEN,Pitchandi K,Dravida Munetra Kazhagam,"2,15,158","1,50,105",69.77,12803,8.50%,
Kalasapakkam,45,GEN,Krishnamurthy-Agri S.s,All India Anna Dravida Munnetra Kazhagam,"1,81,980","1,42,208",78.14,7666,5.40%,
Polur,46,GEN,Vijayakumar P.S,Indian National Congress,"1,73,999","1,24,642",71.63,7544,6.10%,
Anaicut,47,GEN,Pandurangan. K,All India Anna Dravida Munnetra Kazhagam,"1,90,228","1,31,641",69.2,53,0.00%,
Vellore,48,GEN,Gnanasekaran.C,Indian National Congress,"2,07,448","1,35,370",65.25,21837,16.10%,
Arni,49,GEN,Sivanandam. R,Dravida Munetra Kazhagam,"1,84,336","1,41,135",76.56,12302,8.70%,
Cheyyar,50,GEN,Vishnuprasad M K,Indian National Congress,"1,69,494","1,35,518",79.95,4790,3.50%,
Vandavasi,51,SC,Jayaraman S P,Dravida Munetra Kazhagam,"1,74,376","1,24,365",71.32,22788,18.30%,
Peranamallur,52,GEN,Edirolimanian G,Pattali Makkal Katchi,"1,70,898","1,21,990",71.38,6688,5.50%,
Melmalayanur,53,GEN,Senthamizhselvan.P,Pattali Makkal Katchi,"1,74,345","1,23,976",71.11,11301,9.10%,
Gingee,54,GEN,Kannan.V,Dravida Munetra Kazhagam,"1,79,189","1,29,948",72.52,12933,10.00%,
Tindivanam,55,GEN,Shanmugam. C.Ve.,All India Anna Dravida Munnetra Kazhagam,"1,53,528","1,18,765",77.36,2208,1.90%,
Vanur,56,SC,Ganapathy.N.,All India Anna Dravida Munnetra Kazhagam,"2,01,206","1,40,886",70.02,4036,2.90%,
Kandamangalam,57,SC,Pushparaj. S,Dravida Munetra Kazhagam,"1,86,058","1,39,456",74.95,7375,5.30%,
Villupuram,58,GEN,Ponmudy.K,Dravida Munetra Kazhagam,"2,12,630","1,54,617",72.72,9748,6.30%,
Mugaiyur,59,GEN,Kaliyavarathan.V.A.T,Pattali Makkal Katchi,"1,88,747","1,28,304",67.98,19506,15.20%,
Thirunavalur,60,GEN,Kumaraguru. R,All India Anna Dravida Munnetra Kazhagam,"1,66,440","1,25,884",75.63,6187,4.90%,
Ulundurpet,61,SC,Thirunavukarasu.K,Dravida Munetra Kazhagam,"2,14,774","1,49,062",69.4,18784,12.60%,
Nellikuppam,62,GEN,Rajendran.Saba.,Dravida Munetra Kazhagam,"1,64,369","1,24,369",75.66,12080,9.70%,
Cuddalore,63,GEN,Iyappan.G.,Dravida Munetra Kazhagam,"1,96,095","1,40,291",71.54,6266,4.50%,
Panruti,64,GEN,Velmurugan.T.,Pattali Makkal Katchi,"1,75,294","1,43,153",81.66,148,0.10%,
Kurinjipadi,65,GEN,Panneerselvam.M.R.K.,Dravida Munetra Kazhagam,"1,67,658","1,23,719",73.79,1915,1.50%,
Bhuvanagiri,66,GEN,Selvi Ramajayam,All India Anna Dravida Munnetra Kazhagam,"1,67,859","1,27,867",76.18,14823,11.60%,
Kattumannarkoil,67,SC,Ravikumar.D.,Viduthalai Chiruthaigal Katchi,"1,52,743","1,11,245",72.83,13414,12.10%,
Chidambaram,68,GEN,Arunmozhidevan.A.,All India Anna Dravida Munnetra Kazhagam,"1,47,220","1,11,106",75.47,16810,15.10%,
Vridhachalam,69,GEN,Vijayakanth.A.,Desiya Murpokku Dravida Kazhagam,"1,97,117","1,51,752",76.99,13777,9.10%,
Mangalore,70,SC,Selvam.K,Viduthalai Chiruthaigal Katchi,"1,93,879","1,42,353",73.42,6914,4.90%,
Rishivandiam,71,GEN,Sivaraj. S,Indian National Congress,"1,86,451","1,28,194",68.75,7935,6.20%,
Chinnasalem,72,GEN,Udhayasooriyan. T,Dravida Munetra Kazhagam,"1,79,669","1,32,301",73.64,20278,15.30%,
Sankarapuram,73,GEN,Angaiyarkanni. A (SELVI),Dravida Munetra Kazhagam,"2,06,139","1,44,844",70.27,2466,1.70%,
Hosur,74,GEN,Gopinath.K,Indian National Congress,"3,12,387","2,15,476",68.98,12551,5.80%,
Thalli,75,GEN,Ramachandran T,Independent,"1,80,674","1,23,936",68.6,4595,3.70%,
Kaveripattinam,76,GEN,Meganathan T A,Pattali Makkal Katchi,"1,83,149","1,41,183",77.09,11734,8.30%,
Krishnagiri,77,GEN,Senguttuvan T,Dravida Munetra Kazhagam,"1,97,095","1,40,275",71.17,18195,13.00%,
Bargur,78,GEN,Thambidurai M,All India Anna Dravida Munnetra Kazhagam,"1,97,892","1,43,663",72.6,3208,2.20%,
Harur,79,SC,Dillibabu.P,Communist Party Of India (Marxist),"2,23,534","1,55,411",69.52,13693,8.80%,
Morappur,80,GEN,Mullaivendhan.V,Dravida Munetra Kazhagam,"1,73,038","1,26,784",73.27,13191,10.40%,
Palacode,81,GEN,Anbalagan K.P,All India Anna Dravida Munnetra Kazhagam,"1,96,330","1,50,907",76.86,4844,3.20%,
Dharmapuri,82,GEN,Velusamy. L,Pattali Makkal Katchi,"2,15,291","1,47,708",68.61,30207,20.50%,
Pennagaram,83,GEN,Periannan.P.N,Dravida Munetra Kazhagam,"2,08,084","1,49,939",72.06,26932,18.00%,
Mettur,84,GEN,Mani G K,Pattali Makkal Katchi,"1,98,408","1,38,343",69.73,11138,8.10%,
Taramangalam,85,GEN,Kannan P,Pattali Makkal Katchi,"2,00,861","1,41,764",70.58,12254,8.60%,
Omalur,86,GEN,Tamizharasu.A,Pattali Makkal Katchi,"1,88,486","1,34,410",71.31,3663,2.70%,
Yercaud,87,ST,Tamilselvan C,Dravida Munetra Kazhagam,"1,56,742","1,13,690",72.53,4107,3.60%,
Salem-I,88,GEN,Ravichandran. L.,All India Anna Dravida Munnetra Kazhagam,"2,06,400","1,56,592",75.87,12817,8.20%,
Salem-Ii,89,GEN,Arumugam S,Dravida Munetra Kazhagam,"2,50,137","1,80,642",72.22,14743,8.20%,
Veerapandi,90,GEN,Rajendran A,Dravida Munetra Kazhagam,"2,68,821","2,12,851",79.18,1638,0.80%,
Panamarathupatty,91,GEN,Rajendran R,Dravida Munetra Kazhagam,"2,09,051","1,64,254",78.57,3889,2.40%,
Attur,92,GEN,Sundaram M R,Indian National Congress,"1,60,786","1,18,449",73.67,10432,8.80%,
Talavasal,93,SC,Chinnadurai K,Dravida Munetra Kazhagam,"1,82,114","1,32,062",72.52,10049,7.60%,
Rasipuram,94,GEN,Ramaswamy.K.P,Dravida Munetra Kazhagam,"1,87,025","1,37,750",73.65,4969,3.60%,
Sendamangalam,95,ST,Ponnusamy.K,Dravida Munetra Kazhagam,"1,82,451","1,29,252",70.84,16534,12.80%,
Namakkal,96,SC,Jayakumar.K,Indian National Congress,"2,12,232","1,43,999",67.85,8099,5.60%,
Kapilamalai,97,GEN,Nedunchezhian.K,Pattali Makkal Katchi,"1,71,751","1,22,862",71.53,8947,7.30%,
Tiruchengode,98,GEN,Thanngamani.P,All India Anna Dravida Munnetra Kazhagam,"2,96,618","2,12,073",71.5,116,0.10%,
Sankari,99,SC,Duraisamy.V.P,Dravida Munetra Kazhagam,"2,10,731","1,44,693",68.66,16420,11.30%,
Edapadi,100,GEN,Kaveri V,Pattali Makkal Katchi,"2,22,666","1,69,951",76.33,6347,3.70%,
Mettupalayam,101,GEN,Chinnaraj.O.K .,All India Anna Dravida Munnetra Kazhagam,"2,04,170","1,51,547",74.23,142,0.10%,
Avanashi,102,SC,Prema.R.,All India Anna Dravida Munnetra Kazhagam,"1,90,450","1,34,556",70.65,4539,3.40%,
