ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Thondamuthur,103,GEN,Kannappan.M.,Marumalarchi Dravida Munnetra Kazhagam,"4,20,186","2,97,700",70.85,9894,3.30%,
Singanallur,104,GEN,Chinnaswamy.R.,All India Anna Dravida Munnetra Kazhagam,"3,37,398","2,40,273",71.21,14,0.00%,
Coimbatore West,105,GEN,Malaravan.T.,All India Anna Dravida Munnetra Kazhagam,"1,40,374","1,00,682",71.72,14281,14.20%,
Coimbatore East,106,GEN,Pongalur Palanisamy.N.,Dravida Munetra Kazhagam,"1,57,364","1,09,215",69.4,6336,5.80%,
Perur,107,GEN,Velumani.S.P.,All India Anna Dravida Munnetra Kazhagam,"3,37,402","2,46,809",73.15,14235,5.80%,
Kinathukkadavu,108,GEN,Damodaran.S.,All India Anna Dravida Munnetra Kazhagam,"1,56,478","1,17,815",75.29,5150,4.40%,
Pollachi,109,GEN,Pollachi Jayaraman .V.,All India Anna Dravida Munnetra Kazhagam,"1,93,283","1,35,724",70.22,2946,2.20%,
Valparai,110,SC,Kovaithangam.N.,Indian National Congress,"1,27,872","86,326",67.51,20979,24.30%,
Udumalpet,111,GEN,Shanmugavelu.C.,All India Anna Dravida Munnetra Kazhagam,"2,07,409","1,43,617",69.24,3463,2.40%,
Dharapuram,112,SC,Prabavathi.P,Dravida Munetra Kazhagam,"1,73,547","1,24,587",71.79,4712,3.80%,
Vellakoil,113,GEN,Saminathan.M.P,Dravida Munetra Kazhagam,"1,55,431","1,17,629",75.68,17088,14.50%,
Pongalur,114,GEN,Mani.S.,Dravida Munetra Kazhagam,"1,54,492","1,14,351",74.02,53,0.00%,
Palladam,115,GEN,Velusamy.S.M.,All India Anna Dravida Munnetra Kazhagam,"2,36,223","1,67,088",70.73,5517,3.30%,
Tiruppur,116,GEN,Govindasamy.C,Communist Party Of India (Marxist),"4,28,422","2,44,208",57,11299,4.60%,
Kangayam,117,GEN,Sekar.S,Indian National Congress,"1,62,590","1,23,563",76,7296,5.90%,
Modakurichi,118,GEN,Palanisami.R.M,Indian National Congress,"1,92,274","1,46,524",76.21,3860,2.60%,
Perundurai,119,GEN,Ponnudurai.C,All India Anna Dravida Munnetra Kazhagam,"1,80,617","1,37,506",76.13,8578,6.20%,
Erode,120,GEN,Raaja.Nkk.P,Dravida Munetra Kazhagam,"3,03,864","2,14,990",70.75,10831,5.00%,
Bhavani,121,GEN,K V Ramanathan,Pattali Makkal Katchi,"1,69,720","1,26,612",74.6,5103,4.00%,
Andhiyur,122,SC,Gurusamy.S,Dravida Munetra Kazhagam,"1,59,908","1,11,199",69.54,19743,17.80%,
Gobichettipalayam,123,GEN,Sengottaiyan.K.A,All India Anna Dravida Munnetra Kazhagam,"1,57,445","1,21,548",77.2,4019,3.30%,
Bhavanisagar,124,GEN,Subramaniam.O,Dravida Munetra Kazhagam,"1,70,773","1,28,628",75.32,20016,15.60%,
Sathyamangalam,125,GEN,Dharmalingam.L.P,Dravida Munetra Kazhagam,"1,71,378","1,21,473",70.88,15894,13.10%,
Coonoor,126,SC,"Soundarapandian,a",Dravida Munetra Kazhagam,"1,47,524","95,670",64.85,5714,6.00%,
Ootacamund,127,GEN,Gopalan.B,Indian National Congress,"1,50,906","95,800",63.48,4559,4.80%,
Gudalur,128,GEN,"Ramachandhiran,k",Dravida Munetra Kazhagam,"2,10,699","1,43,356",68.04,20232,14.10%,
Palani,129,SC,Anbalakan.M,Dravida Munetra Kazhagam,"1,60,854","1,20,434",74.87,10909,9.10%,
Oddanchatram,130,GEN,Sakkarapani.R,Dravida Munetra Kazhagam,"1,59,094","1,18,897",74.73,19903,16.70%,
Periyakulam,131,GEN,Panneer Selvam.O,All India Anna Dravida Munnetra Kazhagam,"1,95,988","1,37,295",70.05,14834,10.80%,
Theni,132,GEN,Ganesan Rd,All India Anna Dravida Munnetra Kazhagam,"2,00,448","1,36,691",68.19,6983,5.10%,
Bodinayakkanur,133,GEN,Lakshmanan S,Dravida Munetra Kazhagam,"1,65,068","1,17,392",71.12,898,0.80%,
Cumbum,134,GEN,Eramakrishnan N,Marumalarchi Dravida Munnetra Kazhagam,"1,65,427","1,17,435",70.99,1958,1.70%,
Andipatti,135,GEN,J Jayalalitha,All India Anna Dravida Munnetra Kazhagam,"1,83,610","1,34,307",73.15,25186,18.80%,
Sedapatti,136,GEN,Durairaj.C,All India Anna Dravida Munnetra Kazhagam,"1,38,459","97,990",70.77,2049,2.10%,
Thirumangalam,137,GEN,Elavarasan.Veera,Marumalarchi Dravida Munnetra Kazhagam,"1,69,523","1,20,251",70.93,4144,3.40%,
Usilampatti,138,GEN,Mahendran.I,All India Anna Dravida Munnetra Kazhagam,"1,37,738","92,508",67.16,3045,3.30%,
Nilakottai,139,SC,Thenmozhi .S.,All India Anna Dravida Munnetra Kazhagam,"1,76,484","1,22,873",69.62,6284,5.10%,
Sholavandan,140,GEN,Moorthy.P,Dravida Munetra Kazhagam,"1,58,021","1,12,702",71.32,1586,1.40%,
Tirupparankundram,141,GEN,Bose.A.K,All India Anna Dravida Munnetra Kazhagam,"3,88,164","2,74,018",70.59,12686,4.60%,
Madurai West,142,GEN,Shanmugam S V,All India Anna Dravida Munnetra Kazhagam,"1,85,269","1,31,030",70.72,3467,2.60%,
Madurai Central,143,GEN,Palanivelrajan.T,Dravida Munetra Kazhagam,"1,35,020","94,232",69.79,7193,7.60%,
Madurai East,144,GEN,Nanmaran.N,Communist Party Of India (Marxist),"1,34,455","95,253",70.84,51,0.10%,
Samayanallur,145,SC,Tamilarasi.R,Dravida Munetra Kazhagam,"4,11,325","2,86,928",69.76,5644,2.00%,
Melur,146,GEN,Samy.R,All India Anna Dravida Munnetra Kazhagam,"1,90,114","1,35,292",71.16,3173,2.30%,
Natham,147,GEN,Viswanathan.R,All India Anna Dravida Munnetra Kazhagam,"1,79,371","1,33,615",74.49,3760,2.80%,
Dindigul,148,GEN,Balabarathi.K,Communist Party Of India (Marxist),"2,18,221","1,52,750",70,18949,12.40%,
Athoor,149,GEN,Periasamy.I,Dravida Munetra Kazhagam,"2,02,430","1,43,435",70.86,26561,18.50%,
Vedasandur,150,GEN,Dhandapani. M,Indian National Congress,"2,10,197","1,49,371",71.06,14758,9.90%,
Aravakurichi,151,GEN,Khaleelur Rahman.M.A.,Dravida Munetra Kazhagam,"1,34,828","1,00,789",74.75,2825,2.80%,
Karur,152,GEN,Senthil Balaji V,All India Anna Dravida Munnetra Kazhagam,"2,21,389","1,70,721",77.11,5384,3.20%,
Krishnarayapuram,153,SC,Kamaraj. P,Dravida Munetra Kazhagam,"1,61,374","1,26,055",78.11,8934,7.10%,
Marungapuri,154,GEN,Chinnasamy.C,All India Anna Dravida Munnetra Kazhagam,"1,87,713","1,35,095",71.97,2532,1.90%,
Kulithalai,155,GEN,Manickam.R,Dravida Munetra Kazhagam,"1,71,539","1,38,082",80.5,13989,10.10%,
Thottiam,156,GEN,Rajasekharan M.,Indian National Congress,"1,65,785","1,23,688",74.61,53,0.00%,
Uppiliapuram,157,ST,Rani R.,Dravida Munetra Kazhagam,"1,73,935","1,26,151",72.53,12382,9.80%,
Musiri,158,GEN,Selvaraj N,Dravida Munetra Kazhagam,"2,03,080","1,53,756",75.71,10927,7.10%,
Lalgudi,159,GEN,Soundara Pandian A.,Dravida Munetra Kazhagam,"1,74,305","1,32,221",75.86,3557,2.70%,
Perambalur,160,SC,Rajkumar.M,Dravida Munetra Kazhagam,"1,81,069","1,33,879",73.94,6638,5.00%,
Varahur,161,SC,Chanthirakasi.M,All India Anna Dravida Munnetra Kazhagam,"1,60,287","1,21,148",75.58,2543,2.10%,
Ariyalur,162,GEN,Amaramoorthy.D,Indian National Congress,"1,63,907","1,32,472",80.82,4194,3.20%,
Andimadam,163,GEN,Sivasankar.S.S,Dravida Munetra Kazhagam,"1,44,606","1,13,467",78.47,5828,5.10%,
Jayankondam,164,GEN,Rajendran.K,All India Anna Dravida Munnetra Kazhagam,"1,67,088","1,35,066",80.84,2051,1.50%,
Srirangam,165,GEN,Paranjothi M.,All India Anna Dravida Munnetra Kazhagam,"2,59,848","1,93,882",74.61,10922,5.60%,
Tiruchirapalli-I,166,GEN,Anbil Periasamy,Dravida Munetra Kazhagam,"1,17,649","86,814",73.79,10451,12.00%,
Tiruchirapalli-Ii,167,GEN,Nehru K.N.,Dravida Munetra Kazhagam,"2,11,217","1,50,019",71.03,16632,11.10%,
Thiruverambur,168,GEN,Sekaran K.N.,Dravida Munetra Kazhagam,"2,66,993","1,89,936",71.14,24762,13.00%,
Sirkali,169,SC,Pannerselvam.M,Dravida Munetra Kazhagam,"1,72,456","1,23,824",71.8,3791,3.10%,
Poompuhar,170,GEN,Periyasamy.K,Pattali Makkal Katchi,"1,61,553","1,20,017",74.29,964,0.80%,
Mayuram,171,GEN,Rajakumar.S,Indian National Congress,"1,59,101","1,15,628",72.68,1578,1.40%,
Kuttalam,172,GEN,Anbazhagan.K Kuttalam,Dravida Munetra Kazhagam,"1,67,513","1,29,125",77.08,11605,9.00%,
Nannilam,173,SC,Padmavathy .P,Communist Party Of India,"1,66,654","1,27,511",76.51,11566,9.10%,
Tiruvarur,174,SC,Mathivanan. U,Dravida Munetra Kazhagam,"1,76,537","1,35,470",76.74,26933,19.90%,
Nagapattinam,175,GEN,Marimuthu.V,Communist Party Of India (Marxist),"1,64,819","1,25,072",75.88,2344,1.90%,
Vedaranyam,176,GEN,Vedarathinam.S.K,Dravida Munetra Kazhagam,"1,59,520","1,33,076",83.42,6531,4.90%,
Tiruthuraipundi,177,SC,Ulaganathan .K.,Communist Party Of India,"1,80,937","1,37,881",76.2,22706,16.50%,
Mannargudi,178,GEN,Sivapunniyam . V,Communist Party Of India,"1,83,489","1,37,898",75.15,6958,5.00%,
Pattukkottai,179,GEN,Rengarajan.N.R,Indian National Congress,"1,76,850","1,26,021",71.26,15334,12.20%,
Peravurani,180,GEN,Veerakapilan.M.V.R,All India Anna Dravida Munnetra Kazhagam,"1,68,565","1,29,809",77.01,3606,2.80%,
Orathanad,181,GEN,Vaithilingam.R,All India Anna Dravida Munnetra Kazhagam,"1,65,978","1,28,642",77.51,3843,3.00%,
Thiruvonam,182,GEN,Mahesh Krishnasamy.T,Dravida Munetra Kazhagam,"2,00,113","1,49,991",74.95,1805,1.20%,
Thanjavur,183,GEN,Ubayadullah.S.N.M,Dravida Munetra Kazhagam,"1,85,684","1,23,302",66.4,11246,9.10%,
Tiruvaiyaru,184,GEN,Chandrasekaran.Durai,Dravida Munetra Kazhagam,"1,49,967","1,14,915",76.63,366,0.30%,
Papanasam,185,GEN,Doraikkannu.R,All India Anna Dravida Munnetra Kazhagam,"1,61,259","1,23,262",76.44,7001,5.70%,
Valangiman,186,SC,Ilamathi Subramanian,All India Anna Dravida Munnetra Kazhagam,"1,39,552","1,09,987",78.81,1633,1.50%,
Kumbakonam,187,GEN,Mani.Ko.Si,Dravida Munetra Kazhagam,"1,66,196","1,25,132",75.29,14141,11.30%,
Thiruvidamarudur,188,GEN,Bharathimohan.R.K,All India Anna Dravida Munnetra Kazhagam,"1,74,917","1,34,714",77.02,3768,2.80%,
Thirumayam,189,GEN,"Subburam, Rm",Indian National Congress,"1,62,477","1,17,989",72.62,314,0.30%,
Kolathur,190,SC,"Subramanian, N.",All India Anna Dravida Munnetra Kazhagam,"1,97,012","1,48,095",75.17,6268,4.20%,
Pudukkottai,191,GEN,"Nedunchezhian, R",All India Anna Dravida Munnetra Kazhagam,"2,02,027","1,52,508",75.49,1950,1.30%,
Alangudi,192,GEN,"Rajasekaran, S",Communist Party Of India,"1,97,741","1,52,998",77.37,9151,6.00%,
Arantangi,193,GEN,Udayam Shanmugam,Dravida Munetra Kazhagam,"2,05,474","1,44,519",70.33,17460,12.10%,
Tiruppattur,194,GEN,Periyakaruppan.K.R,Dravida Munetra Kazhagam,"2,10,399","1,47,772",70.23,5627,3.80%,
Karaikudi,195,GEN,Sundaram.N,Indian National Congress,"2,08,583","1,32,196",63.38,16246,12.30%,
Tiruvadanai,196,GEN,Ramasamy.K.R,Indian National Congress,"1,78,964","1,17,715",65.78,5253,4.50%,
Ilayangudi,197,GEN,Rajakannappan R.S,Dravida Munetra Kazhagam,"1,45,800","97,465",66.85,12706,13.00%,
Sivaganga,198,GEN,Gunasekaran S,Communist Party Of India,"1,84,172","1,15,731",62.84,6113,5.30%,
Manamadurai,199,SC,Gunasekaran.M,All India Anna Dravida Munnetra Kazhagam,"1,79,349","1,09,458",61.03,11455,10.50%,
Paramakudi,200,SC,Ramprabhu.R,Indian National Congress,"1,69,035","1,12,645",66.64,1054,0.90%,
Ramanathapuram,201,GEN,Hussan Ali.K.,Indian National Congress,"2,10,426","1,44,159",68.51,13367,9.30%,
Kadaladi,202,GEN,Thangavelan.Suba.,Dravida Munetra Kazhagam,"2,04,370","1,19,433",58.44,7556,6.30%,
Mudukulathur,203,GEN,Murugavel.K.,Dravida Munetra Kazhagam,"1,73,271","1,03,723",59.86,10521,10.10%,
Aruppukottai,204,GEN,Thangam Thennarasu,Dravida Munetra Kazhagam,"1,61,711","1,15,968",71.71,8234,7.10%,
Sattur,205,GEN,Ramachandran.K.K.S.S.R.,Dravida Munetra Kazhagam,"2,04,350","1,49,256",73.04,20845,14.00%,
Virudhunagar,206,GEN,Varadharajan.R.,Marumalarchi Dravida Munnetra Kazhagam,"1,82,473","1,30,421",71.47,4107,3.10%,
Sivakasi,207,GEN,Gnanadoss.R,Marumalarchi Dravida Munnetra Kazhagam,"2,53,957","1,83,151",72.12,9271,5.10%,
Srivilliputhur,208,GEN,Ramasamy.T,Communist Party Of India,"1,86,842","1,35,696",72.63,6616,4.90%,
Rajapalayam,209,SC,Chandra. M.,All India Anna Dravida Munnetra Kazhagam,"2,00,783","1,48,266",73.84,493,0.30%,
Vilathikulam,210,GEN,Chinnappan.P,All India Anna Dravida Munnetra Kazhagam,"1,47,823","97,226",65.77,7654,7.90%,
Pottapidaram,211,SC,Mohan.P,All India Anna Dravida Munnetra Kazhagam,"1,44,568","98,449",68.1,9444,9.60%,
Koilpatti,212,GEN,Radhakrishnan.L,All India Anna Dravida Munnetra Kazhagam,"1,76,858","1,14,480",64.73,12339,10.80%,
Sankaranayanarkoil,213,SC,Karuppasamy C,All India Anna Dravida Munnetra Kazhagam,"1,80,575","1,25,560",69.53,4442,3.50%,
Vasudevanallur,214,SC,Sadhan Thirumalai Kumar.(DR) T,Marumalarchi Dravida Munnetra Kazhagam,"1,61,517","1,13,716",70.4,6759,5.90%,
Kadayanallur,215,GEN,Peter Alphonse.S,Indian National Congress,"1,75,786","1,20,485",68.54,4314,3.60%,
