ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Perundurai,103,GEN,Erode,Venkatachalam.N.D,All India Anna Dravida Munnetra Kazhagam,"1,78,259","1,49,561",83.90%,42167,28.20%,
Bhavani,104,GEN,Erode,Narayanan.P.G,All India Anna Dravida Munnetra Kazhagam,"1,96,160","1,60,496",81.80%,28041,17.50%,
Anthiyur,105,GEN,Erode,Ramanitharan.S.S,All India Anna Dravida Munnetra Kazhagam,"1,73,683","1,42,922",82.30%,25254,17.70%,
Gobichettipalayam,106,GEN,Erode,Sengottaiyan K.A,All India Anna Dravida Munnetra Kazhagam,"2,09,018","1,74,184",83.30%,41912,24.10%,
Bhavanisagar,107,SC,Erode,Sundaram P.L,Communist Party Of India,"1,99,497","1,63,511",82.00%,19403,11.90%,
Udhagamandalam,108,GEN,The Nilgiris,Budhichandhiran,All India Anna Dravida Munnetra Kazhagam,"1,72,086","1,22,675",71.30%,7545,6.20%,
Gudalur,109,SC,The Nilgiris,Thiravidamani.M,Dravida Munetra Kazhagam,"1,59,402","1,13,985",71.50%,27374,24.00%,
Coonoor,110,GEN,The Nilgiris,Ramachandran.K,Dravida Munetra Kazhagam,"1,65,620","1,21,015",73.10%,9292,7.70%,
Mettuppalayam,111,GEN,Coimbatore,Chinnaraj O K,All India Anna Dravida Munnetra Kazhagam,"2,11,796","1,71,836",81.10%,25775,15.00%,
Avanashi,112,SC,Coimbatore,Karuppasamy.M.A.,All India Anna Dravida Munnetra Kazhagam,"1,92,747","1,54,654",80.20%,61411,39.70%,
Tiruppur (North),113,GEN,Coimbatore,Anandan.M.S.M,All India Anna Dravida Munnetra Kazhagam,"2,16,316","1,60,907",74.40%,73271,45.50%,
Tiruppur (South),114,GEN,Coimbatore,Thangavel.K,Communist Party Of India (MARXIST),"1,67,923","1,22,375",72.90%,38303,31.30%,
Palladam,115,GEN,Coimbatore,Paramasivam.K.P,All India Anna Dravida Munnetra Kazhagam,"2,28,611","1,76,910",77.40%,69776,39.40%,
Sulur,116,GEN,Coimbatore,Thinakaran K,Desiya Murpokku Dravida Kazhagam,"2,11,574","1,69,588",80.20%,29532,17.40%,
Kavundampalayam,117,GEN,Coimbatore,Arukutty V C,All India Anna Dravida Munnetra Kazhagam,"2,94,628","2,16,785",73.60%,69260,31.90%,
Coimbatore (North),118,GEN,Coimbatore,Malaravan T.,All India Anna Dravida Munnetra Kazhagam,"2,21,863","1,55,282",70.00%,40098,25.80%,
Thondamuthur,119,GEN,Coimbatore,Velumani S P,All India Anna Dravida Munnetra Kazhagam,"2,13,181","1,60,085",75.10%,53203,33.20%,
Coimbatore (South),120,GEN,Coimbatore,Doraiswamy R Alias Challenger Dorai,All India Anna Dravida Munnetra Kazhagam,"2,00,261","1,43,294",71.60%,27796,19.40%,
Singanallur,121,GEN,Coimbatore,Chinnasamy R,All India Anna Dravida Munnetra Kazhagam,"2,30,350","1,58,903",69.00%,34326,21.60%,
Kinathukadavu,122,GEN,Coimbatore,Damodaran S,All India Anna Dravida Munnetra Kazhagam,"2,14,627","1,67,567",78.10%,30266,18.10%,
Pollachi,123,GEN,Coimbatore,Muthukaruppannasamy M K,All India Anna Dravida Munnetra Kazhagam,"1,77,051","1,41,747",80.10%,30308,21.40%,
Valparai,124,SC,Coimbatore,Arumugham M,Communist Party Of India,"1,62,159","1,24,440",76.70%,3421,2.70%,
Udumalaipettai,125,GEN,Coimbatore,Pollachi Jayaraman. V,All India Anna Dravida Munnetra Kazhagam,"2,00,450","1,56,845",78.20%,44560,28.40%,
Madathukulam,126,GEN,Coimbatore,C.Shanmugavelu,All India Anna Dravida Munnetra Kazhagam,"1,76,351","1,43,703",81.50%,19669,13.70%,
Palani,127,GEN,Dindigul,"Venugopalu. K.S.N,",All India Anna Dravida Munnetra Kazhagam,"2,09,823","1,69,925",81.00%,1754,1.00%,
Oddanchatram,128,GEN,Dindigul,Sakkarapani.R,Dravida Munetra Kazhagam,"1,95,975","1,68,785",86.10%,14933,8.80%,
Athoor,129,GEN,Dindigul,Periyasamy.I,Dravida Munetra Kazhagam,"2,26,859","1,89,245",83.40%,53932,28.50%,
Nilakkottai,130,SC,Dindigul,Ramasamy.A,Puthiya Tamilagam,"1,81,623","1,43,243",78.90%,24714,17.30%,
Natham,131,GEN,Dindigul,Viswanathan.R.,All India Anna Dravida Munnetra Kazhagam,"2,07,464","1,76,251",85.00%,53089,30.10%,
Dindigul,132,GEN,Dindigul,Balabharathi.K.,Communist Party Of India (MARXIST),"1,92,477","1,47,805",76.80%,39115,26.50%,
Vedasandur,133,GEN,Dindigul,Palanichamy. S.,All India Anna Dravida Munnetra Kazhagam,"2,11,823","1,68,772",79.70%,50712,30.00%,
Aravakurichi,134,GEN,Karur,Pallanishamy.K.C,Dravida Munetra Kazhagam,"1,70,483","1,46,509",85.90%,4541,3.10%,
Karur,135,GEN,Karur,"Senthil Balaji, V.",All India Anna Dravida Munnetra Kazhagam,"1,94,257","1,63,031",83.90%,44145,27.10%,
Krishnarayapuram,136,SC,Karur,Kamaraj.S,All India Anna Dravida Munnetra Kazhagam,"1,74,917","1,51,699",86.70%,22509,14.80%,
Kulithalai,137,GEN,Tiruchirappalli,Pappasundaram.A,All India Anna Dravida Munnetra Kazhagam,"1,79,805","1,59,662",88.80%,22473,14.10%,
Manapparai,138,GEN,Tiruchirappalli,Chandra Sekar R,All India Anna Dravida Munnetra Kazhagam,"2,16,436","1,73,248",80.00%,28299,16.30%,
Srirangam,139,GEN,Tiruchirappalli,J Jayalalitha,All India Anna Dravida Munnetra Kazhagam,"2,21,147","1,78,547",80.70%,41848,23.40%,
Tiruchirappalli (West),140,GEN,Tiruchirappalli,N.Mariam Pitchai,All India Anna Dravida Munnetra Kazhagam,"2,05,658","1,54,321",75.00%,7179,4.70%,
