ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Thandarambattu,43,GEN,E. Vachiravelu,All India Anna Dravida Munnetra Kazhagam,"1,20,070","96,037",80.00%,"18,773",19.50%
Tiruvannamalai,44,GEN,A. S. Ravindran,Indian National Congress,"1,29,693","1,01,379",78.20%,"5,373",5.30%
Kalasapakkam,45,GEN,"Pandurangan, M.",All India Anna Dravida Munnetra Kazhagam,"1,23,335","99,451",80.60%,"19,666",19.80%
Polur,46,GEN,"Rajababu, J.",Indian National Congress,"1,16,495","87,395",75.00%,"22,118",25.30%
Anaicut,47,GEN,"Krishnasamy, V.R.",All India Anna Dravida Munnetra Kazhagam,"1,18,953","82,294",69.20%,"18,620",22.60%
Vellore,48,GEN,"Devaraj, V. M.",Dravida Munetra Kazhagam,"1,41,315","1,03,742",73.40%,"10,023",9.70%
Arni,49,GEN,M. Chinnakulandai,All India Anna Dravida Munnetra Kazhagam,"1,26,766","1,03,158",81.40%,"11,033",10.70%
Cheyyar,50,GEN,K. Murugan,All India Anna Dravida Munnetra Kazhagam,"1,21,783","97,497",80.10%,"16,540",17.00%
Vandavasi,51,SC,A. Arumugham,Indian National Congress,"1,30,211","96,493",74.10%,"10,386",10.80%
Peranamallur,52,GEN,R. Hari Kumar,All India Anna Dravida Munnetra Kazhagam,"1,27,862","97,171",76.00%,"11,992",12.30%
Melmalayanur,53,GEN,P. U. Shanmugam,All India Anna Dravida Munnetra Kazhagam,"1,26,800","96,133",75.80%,"33,946",35.30%
Gingee,54,GEN,"Muruganandam, T. N.",Indian National Congress,"1,32,058","96,412",73.00%,"22,102",22.90%
Tindivanam,55,GEN,K. M. Thangamani,Indian National Congress,"1,13,711","81,363",71.60%,"19,316",23.70%
Vanur,56,SC,M. N. Ramajayam,All India Anna Dravida Munnetra Kazhagam,"1,30,927","96,319",73.60%,"26,216",27.20%
Kandamangalam,57,SC,"Subramaniyan, V",All India Anna Dravida Munnetra Kazhagam,"1,29,419","97,226",75.10%,"14,697",15.10%
Villupuram,58,GEN,Rajarathinam Mani M.,All India Anna Dravida Munnetra Kazhagam,"1,31,319","1,01,005",76.90%,"13,854",13.70%
Mugaiyur,59,GEN,"Chandrasekar, M.",All India Anna Dravida Munnetra Kazhagam,"1,19,737","88,007",73.50%,"14,735",16.70%
Thirunavalur,60,GEN,Menoharan T. N. G. A.,All India Anna Dravida Munnetra Kazhagam,"1,12,818","87,352",77.40%,"7,973",9.10%
Ulundurpet,61,SC,M. Anadan,All India Anna Dravida Munnetra Kazhagam,"1,34,077","96,000",71.60%,"26,882",28.00%
Nellikuppam,62,GEN,Anbarasan Alias Ramalingam,All India Anna Dravida Munnetra Kazhagam,"1,17,487","90,806",77.30%,"21,377",23.50%
Cuddalore,63,GEN,V. G. Cheelappa,Indian National Congress,"1,29,630","95,773",73.90%,"16,696",17.40%
Panruti,64,GEN,S.Ramachandran,All India Anna Dravida Munnetra Kazhagam,"1,17,364","1,00,306",85.50%,"7,637",7.60%
Kurinjipadi,65,GEN,A.Thangarasu,All India Anna Dravida Munnetra Kazhagam,"1,24,612","96,249",77.20%,"10,966",11.40%
Bhuvanagiri,66,GEN,V.V. Swaminathan,All India Anna Dravida Munnetra Kazhagam,"1,22,059","97,234",79.70%,"12,301",12.70%
Kattumannarkoil,67,SC,S.Jayachandran,Indian National Congress,"1,09,718","87,442",79.70%,"1,132",1.30%
Chidambaram,68,GEN,K.R.Ganpathi,All India Anna Dravida Munnetra Kazhagam,"1,14,114","90,376",79.20%,"9,243",10.20%
Vridhachalam,69,GEN,R.Thiyagarajan,Indian National Congress,"1,26,745","98,074",77.40%,"18,122",18.50%
Mangalore,70,SC,S.Thangaraju,All India Anna Dravida Munnetra Kazhagam,"1,36,839","96,642",70.60%,"23,135",23.90%
Rishivandiam,71,GEN,S.Sivaraj,Indian National Congress,"1,12,187","87,792",78.30%,"5,121",5.80%
Chinnasalem,72,GEN,S.Sivaraman,Independent,"1,17,749","88,350",75.00%,"22,997",26.00%
Sankarapuram,73,GEN,S.Kalitherthan,All India Anna Dravida Munnetra Kazhagam,"1,22,305","95,330",77.90%,"24,031",25.20%
Hosur,74,GEN,T.Venkataraddy,Indian National Congress,"1,20,813","80,140",66.30%,"20,197",25.20%
Thalli,75,GEN,K.V.Venugopal,Indian National Congress,"1,17,654","79,389",67.50%,"2,424",3.10%
Kaveripattinam,76,GEN,K.Samarasam,Ambedkar Kranti Dal,"1,21,109","89,456",73.90%,"15,679",17.50%
Krishnagiri,77,GEN,Chinnaraju K.R.,All India Anna Dravida Munnetra Kazhagam,"1,16,726","80,179",68.70%,"11,015",13.70%
Bargur,78,GEN,T.M.Venkatachalam,All India Anna Dravida Munnetra Kazhagam,"1,22,427","87,134",71.20%,"32,811",37.70%
Harur,79,SC,Rajamanickam R.,All India Anna Dravida Munnetra Kazhagam,"1,36,214","93,898",68.90%,"32,307",34.40%
Morappur,80,GEN,Theerthagiri Gounder T.,Indian National Congress,"1,15,821","84,540",73.00%,"12,326",14.60%
Palacode,81,GEN,Theertharaman P.,Indian National Congress,"1,25,689","87,802",69.90%,"29,414",33.50%
Dharmapuri,82,GEN,Chinnasamy R.,Dravida Munetra Kazhagam,"1,33,042","91,113",68.50%,"8,454",9.30%
Pennagaram,83,GEN,H.G. Arumugam,All India Anna Dravida Munnetra Kazhagam,"1,26,479","86,045",68.00%,"19,098",22.20%
Mettur,84,GEN,Machimuthu K.P.,All India Anna Dravida Munnetra Kazhagam,"1,38,136","1,01,231",73.30%,"17,830",17.60%
Taramangalam,85,GEN,Semmalai S.,All India Anna Dravida Munnetra Kazhagam,"1,30,679","95,084",72.80%,"37,978",39.90%
Omalur,86,GEN,Anbalagan,Indian National Congress,"1,24,598","84,742",68.00%,"28,742",33.90%
Yercaud,87,ST,Thirugnanam P.R.,Indian National Congress,"1,05,516","70,340",66.70%,"32,002",45.50%
Salem-I,88,GEN,G.Krishnaraj,All India Anna Dravida Munnetra Kazhagam,"1,41,927","1,09,014",76.80%,"5,886",5.40%
Salem-Ii,89,GEN,Arumugam,All India Anna Dravida Munnetra Kazhagam,"1,32,481","95,672",72.20%,"8,006",8.40%
Veerapandi,90,GEN,Vijayalakshmi Pandit,All India Anna Dravida Munnetra Kazhagam,"1,41,355","1,01,985",72.10%,"28,060",27.50%
Panamarathupatty,91,GEN,Rajaram K.,All India Anna Dravida Munnetra Kazhagam,"1,20,913","86,470",71.50%,"20,916",24.20%
Attur,92,GEN,C.Palanimuthu,Indian National Congress,"1,19,635","87,751",73.30%,"31,123",35.50%
Talavasal,93,SC,T.Rajambal,Indian National Congress,"1,28,351","86,494",67.40%,"27,813",32.20%
Rasipuram,94,GEN,Ramalingam K.P.,All India Anna Dravida Munnetra Kazhagam,"1,37,200","1,03,898",75.70%,"10,478",10.10%
Sendamangalam,95,ST,"Sivaprakasam, S.",All India Anna Dravida Munnetra Kazhagam,"1,37,028","90,660",66.20%,"27,852",30.70%
Namakkal,96,SC,R.Arunachalam,All India Anna Dravida Munnetra Kazhagam,"1,49,546","1,09,850",73.50%,"17,290",15.70%
Kapilamalai,97,GEN,P.Sengottaiyan,Indian National Congress,"1,35,937","1,02,493",75.40%,"11,143",10.90%
Tiruchengode,98,GEN,Ponnaiyan C.,All India Anna Dravida Munnetra Kazhagam,"2,06,470","1,46,355",70.90%,"19,222",13.10%
Sankari,99,SC,"Dhanabal, P.",All India Anna Dravida Munnetra Kazhagam,"1,55,258","1,06,906",68.90%,"16,370",15.30%
Edapadi,100,GEN,Govindaswamy,Indian National Congress,"1,56,478","1,13,069",72.30%,"40,723",36.00%
Mettupalayam,101,GEN,"Chinnaraj, M.",All India Anna Dravida Munnetra Kazhagam,"1,42,909","1,09,008",76.30%,"20,424",18.70%
Avanashi,102,SC,Lakshmi P.,All India Anna Dravida Munnetra Kazhagam,"1,31,978","94,161",71.30%,"34,173",36.30%
Thondamuthur,103,GEN,Aranganayakam,All India Anna Dravida Munnetra Kazhagam,"1,73,480","1,23,824",71.40%,"22,326",18.00%
Singanallur,104,GEN,Sengalippan R.,Janta Party,"1,56,258","1,16,905",74.80%,"4,931",4.20%
Coimbatore West,105,GEN,Ramanathan M.,Dravida Munetra Kazhagam,"1,27,846","88,821",69.50%,"6,892",7.80%
Coimbatore East,106,GEN,Ramani K.,Communist Party Of India (MARXIST),"1,37,305","88,021",64.10%,"1,059",1.20%
Perur,107,GEN,A.Natarasan,Dravida Munetra Kazhagam,"1,61,164","1,16,393",72.20%,"7,061",6.10%
Kinathukkadavu,108,GEN,"Kandaswamy, K.V.",All India Anna Dravida Munnetra Kazhagam,"1,20,894","93,091",77.00%,"11,883",12.80%
Pollachi,109,GEN,M.V. Rathinam,All India Anna Dravida Munnetra Kazhagam,"1,45,707","1,07,496",73.80%,"6,810",6.30%
Valparai,110,SC,V.Thangavelu,Indian National Congress,"1,13,330","81,782",72.20%,"22,670",27.70%
Udumalpet,111,GEN,S.Thirumalaisamy Gounder,Indian National Congress,"1,44,150","1,11,366",77.30%,"9,478",8.50%
Dharapuram,112,SC,Periasamy. A.,All India Anna Dravida Munnetra Kazhagam,"1,28,788","91,650",71.20%,"15,968",17.40%
Vellakoil,113,GEN,Durai Ramasamy,All India Anna Dravida Munnetra Kazhagam,"1,29,410","1,01,235",78.20%,"11,307",11.20%
Pongalur,114,GEN,Kandaswamy P.,All India Anna Dravida Munnetra Kazhagam,"1,15,546","86,030",74.50%,"15,601",18.10%
Palladam,115,GEN,"Paramasiva Gounder, P.N.",All India Anna Dravida Munnetra Kazhagam,"1,38,075","99,842",72.30%,"10,573",10.60%
Tiruppur,116,GEN,Subbarayan K.,Communist Party Of India,"1,82,124","1,33,971",73.60%,"1,240",0.90%
Kangayam,117,GEN,K.C. Palanisamy,All India Anna Dravida Munnetra Kazhagam,"1,30,059","99,028",76.10%,"16,757",16.90%
Modakurichi,118,GEN,S.Balakrishnan,All India Anna Dravida Munnetra Kazhagam,"1,54,501","1,20,122",77.70%,"17,326",14.40%
Perundurai,119,GEN,A. Ponnusamy,All India Anna Dravida Munnetra Kazhagam,"1,34,058","99,378",74.10%,"28,365",28.50%
Erode,120,GEN,S.Muthusamy,All India Anna Dravida Munnetra Kazhagam,"1,89,520","1,38,433",73.00%,"11,647",8.40%
Bhavani,121,GEN,P.G.Narayanan,All India Anna Dravida Munnetra Kazhagam,"1,24,086","95,866",77.30%,"25,234",26.30%
Andhiyur,122,SC,Mathaiyan U.P.,All India Anna Dravida Munnetra Kazhagam,"1,14,321","80,329",70.30%,"31,346",39.00%
Gobichettipalayam,123,GEN,Sengottyan K.A.,All India Anna Dravida Munnetra Kazhagam,"1,20,286","93,622",77.80%,"25,005",26.70%
Bhavanisagar,124,GEN,Chinnsammy V.K.,All India Anna Dravida Munnetra Kazhagam,"1,23,478","93,785",76.00%,"16,796",17.90%
Sathyamangalam,125,GEN,Elankovan E.V.K.S.,Indian National Congress,"1,17,272","85,939",73.30%,"25,719",29.90%
Coonoor,126,SC,M.Sivakumar,All India Anna Dravida Munnetra Kazhagam,"1,23,350","87,059",70.60%,"12,123",13.90%
Ootacamund,127,GEN,Kallan K.,Indian National Congress,"1,24,026","85,712",69.10%,"22,800",26.60%
Gudalur,128,GEN,K.Hutchi Gowder,All India Anna Dravida Munnetra Kazhagam,"1,32,008","94,751",71.80%,"16,457",17.40%
Palani,129,SC,A.S. Ponnammal,Indian National Congress,"1,33,723","98,445",73.60%,"31,550",32.00%
Oddanchatram,130,GEN,Kuppusamy K.,All India Anna Dravida Munnetra Kazhagam,"1,32,723","99,703",75.10%,"2,481",2.50%
Periyakulam,131,GEN,Mohammed Saleem T.,All India Anna Dravida Munnetra Kazhagam,"1,33,765","95,050",71.10%,"26,467",27.80%
Theni,132,GEN,V.R. Jeyaraman,All India Anna Dravida Munnetra Kazhagam,"1,41,714","1,03,058",72.70%,"16,359",15.90%
Bodinayakkanur,133,GEN,K.S.M. Ramachandran,Indian National Congress,"1,34,056","92,731",69.20%,"19,872",21.40%
Cumbum,134,GEN,S.Subburayar,All India Anna Dravida Munnetra Kazhagam,"1,36,730","1,02,513",75.00%,"5,223",5.10%
Andipatti,135,GEN,M.G. Ramachandran,All India Anna Dravida Munnetra Kazhagam,"1,33,117","93,155",70.00%,"32,484",34.90%
Sedapatti,136,GEN,R. Muthiah,All India Anna Dravida Munnetra Kazhagam,"1,22,094","86,348",70.70%,"4,998",5.80%
Thirumangalam,137,GEN,N.S.V. Chitthan,Indian National Congress,"1,23,317","88,092",71.40%,"10,842",12.30%
Usilampatti,138,GEN,"Muthuramalingam, P.K.M.",Independent,"1,25,879","87,662",69.60%,"20,741",23.70%
Nilakottai,139,SC,A.Buluchamy,All India Anna Dravida Munnetra Kazhagam,"1,30,589","92,007",70.50%,"29,849",32.40%
Sholavandan,140,GEN,Chandrasekaran A.,Indian National Congress,"1,20,399","88,830",73.80%,"17,772",20.00%
Tirupparankundram,141,GEN,Marimuthu M.,All India Anna Dravida Munnetra Kazhagam,"1,65,581","1,13,690",68.70%,"12,673",11.10%
Madurai West,142,GEN,Pon Muthuramalingam,Dravida Munetra Kazhagam,"1,42,850","97,896",68.50%,"3,116",3.20%
Madurai Central,143,GEN,Deivanyagam A.,Indian National Congress,"1,21,962","83,985",68.90%,"2,260",2.70%
Madurai East,144,GEN,K. Kalimuthu,All India Anna Dravida Munnetra Kazhagam,"1,20,711","87,222",72.30%,"6,238",7.20%
Samayanallur,145,SC,"Sivakumar, A.",All India Anna Dravida Munnetra Kazhagam,"1,66,057","1,18,926",71.60%,"20,137",16.90%
Melur,146,GEN,"Veeranambalam, D. V.",Indian National Congress,"1,39,154","1,06,213",76.30%,"27,046",25.50%
Natham,147,GEN,Andi Ambalama M.,Indian National Congress,"1,21,608","88,993",73.20%,"39,210",44.10%
Dindigul,148,GEN,A. Premkumar,All India Anna Dravida Munnetra Kazhagam,"1,60,905","1,11,963",69.60%,"32,766",29.30%
Athoor,149,GEN,Nedunchezhiyan V. R.,All India Anna Dravida Munnetra Kazhagam,"1,52,731","1,10,714",72.50%,"29,573",26.70%
Vedasandur,150,GEN,Balasubramaniam V. P.,All India Anna Dravida Munnetra Kazhagam,"1,62,490","1,15,422",71.00%,"27,869",24.10%
Aravakurichi,151,GEN,S. Jegatheesan,All India Anna Dravida Munnetra Kazhagam,"1,41,938","1,07,930",76.00%,"13,614",12.60%
Karur,152,GEN,K. Vadivel,All India Anna Dravida Munnetra Kazhagam,"1,56,620","1,24,619",79.60%,"12,203",9.80%
Krishnarayapuram,153,SC,"Thangavelraj, P. M.",Indian National Congress,"1,33,860","98,774",73.80%,"40,315",40.80%
Marungapuri,154,GEN,K. Sholairaj,All India Anna Dravida Munnetra Kazhagam,"1,26,822","95,850",75.60%,"38,521",40.20%
Kulithalai,155,GEN,P. Musiri Puppnan,All India Anna Dravida Munnetra Kazhagam,"1,30,379","1,03,377",79.30%,"29,848",28.90%
Thottiam,156,GEN,Periyasamy,Indian National Congress,"1,27,712","1,01,386",79.40%,"39,516",39.00%
Uppiliapuram,157,ST,R. Saroja,All India Anna Dravida Munnetra Kazhagam,"1,34,178","1,00,890",75.20%,"22,098",21.90%
Musiri,158,GEN,"Rathinavelu, S.",All India Anna Dravida Munnetra Kazhagam,"1,43,107","1,15,730",80.90%,"23,673",20.50%
Lalgudi,159,GEN,K. Venkatachalam,Indian National Congress,"1,32,489","1,06,721",80.60%,"25,122",23.50%
Perambalur,160,SC,K. Nallamuthu,Indian National Congress,"1,30,635","94,981",72.70%,"29,270",30.80%
Varahur,161,SC,A. Arunachalam,All India Anna Dravida Munnetra Kazhagam,"1,23,134","90,648",73.60%,"12,710",14.00%
Ariyalur,162,GEN,S. Purushothaman,All India Anna Dravida Munnetra Kazhagam,"1,22,373","1,01,042",82.60%,"17,770",17.60%
Andimadam,163,GEN,Adhimoolam Alias Gandhi,All India Anna Dravida Munnetra Kazhagam,"1,07,898","86,351",80.00%,"6,016",7.00%
Jayankondam,164,GEN,"Masilamani, N.",Indian National Congress,"1,23,972","97,731",78.80%,"34,690",35.50%
Srirangam,165,GEN,R. Soudararajan,All India Anna Dravida Munnetra Kazhagam,"1,39,831","1,09,421",78.30%,"20,462",18.70%
Tiruchirappalli-,166,GEN,"Malaramannan, A.",Dravida Munetra Kazhagam,"1,03,264","76,505",74.10%,"2,893",3.80%
Tiruchirappalli-Ii,167,GEN,N. Nallusamy,All India Anna Dravida Munnetra Kazhagam,"1,31,240","92,781",70.70%,"4,681",5.00%
Thiruverambur,168,GEN,M. Guruswamy Alias Annadasan,All India Anna Dravida Munnetra Kazhagam,"1,45,622","1,04,072",71.50%,"4,479",4.30%
Sirkali,169,SC,"Balasubramaniam, K.",All India Anna Dravida Munnetra Kazhagam,"1,20,444","96,563",80.20%,"11,286",11.70%
Poompuhar,170,GEN,"Vijayabalan, N.",All India Anna Dravida Munnetra Kazhagam,"1,15,057","93,425",81.20%,"3,080",3.30%
Mayuram,171,GEN,M. Thangamani,All India Anna Dravida Munnetra Kazhagam,"1,16,888","93,167",79.70%,"4,171",4.50%
Kuttalam,172,GEN,Pappa Subbramanian,All India Anna Dravida Munnetra Kazhagam,"1,20,416","99,321",82.50%,"11,760",11.80%
Nannilam,173,SC,"Manimaran, M.",Dravida Munetra Kazhagam,"1,23,430","1,00,768",81.60%,"4,508",4.50%
Tiruvarur,174,SC,M. Sellamuthu,Communist Party Of India (MARXIST),"1,31,246","1,05,452",80.30%,"12,046",11.40%
Nagapattinam,175,GEN,G. Veeraiyan,Communist Party Of India (MARXIST),"1,18,310","93,820",79.30%,"4,986",5.30%
Vedaranyam,176,GEN,Meenakshi Sundaram,Dravida Munetra Kazhagam,"1,16,682","1,03,040",88.30%,"1,276",1.20%
Tiruthuraipundi,177,SC,P. Uthirapathi,Communist Party Of India,"1,34,745","1,12,284",83.30%,"10,815",9.60%
Mannargudi,178,GEN,S. Gnanasundaram,All India Anna Dravida Munnetra Kazhagam,"1,31,490","1,06,584",81.10%,"4,427",4.20%
Pattukkottai,179,GEN,Ramachandran P. N.,All India Anna Dravida Munnetra Kazhagam,"1,29,067","1,03,439",80.10%,"15,117",14.60%
Peravurani,180,GEN,"Govendhan, M. R.",All India Anna Dravida Munnetra Kazhagam,"1,21,151","1,01,798",84.00%,"27,267",26.80%
Orathanad,181,GEN,T. Veeraswamy,All India Anna Dravida Munnetra Kazhagam,"1,27,906","1,05,663",82.60%,"4,069",3.90%
Thiruvonam,182,GEN,"Sivagnanam, V.",Indian National Congress,"1,24,226","1,01,894",82.00%,"11,070",10.90%
Thanjavur,183,GEN,Durai Krishnamurthy,Indian National Congress,"1,35,351","98,504",72.80%,"1,761",1.80%
Tiruvaiyaru,184,GEN,Durai Govindarajan,All India Anna Dravida Munnetra Kazhagam,"1,15,730","90,694",78.40%,"13,089",14.40%
Papanasam,185,GEN,"Rajaraman, S.",Indian National Congress,"1,14,852","92,398",80.40%,"17,278",18.70%
Valangiman,186,SC,Gomathi Srinivasan,All India Anna Dravida Munnetra Kazhagam,"1,07,560","87,313",81.20%,"12,271",14.10%
Kumbakonam,187,GEN,"Krishnamoorthy, K.",Indian National Congress,"1,24,280","94,298",75.90%,"37,668",39.90%
Thiruvidamarudur,188,GEN,"Rajangam, M",Indian National Congress,"1,24,072","1,01,405",81.70%,"13,463",13.30%
Thirumayam,189,GEN,Pushparaju T.,Indian National Congress,"1,29,285","97,452",75.40%,"38,683",39.70%
Kolathur,190,SC,"Marimuthu, T.",All India Anna Dravida Munnetra Kazhagam,"1,34,345","1,06,558",79.30%,"27,847",26.10%
Pudukkottai,191,GEN,J.Mohamed Gani,Indian National Congress,"1,37,340","1,07,384",78.20%,"37,663",35.10%
Alangudi,192,GEN,Venkatachalam,All India Anna Dravida Munnetra Kazhagam,"1,39,144","1,17,018",84.10%,"37,029",31.60%
Arantangi,193,GEN,"Thirunvukkarasu, S.",All India Anna Dravida Munnetra Kazhagam,"1,45,705","1,17,754",80.80%,"29,904",25.40%
Tiruppattur,194,GEN,"Madhavan, S.",All India Anna Dravida Munnetra Kazhagam,"1,24,243","90,317",72.70%,"21,908",24.30%
Karaikudi,195,GEN,S.P. Durairasu,All India Anna Dravida Munnetra Kazhagam,"1,41,404","1,03,302",73.10%,"9,659",9.40%
Tiruvadanai,196,GEN,"Sornalingam, K.",Indian National Congress,"1,46,152","1,05,900",72.50%,"18,817",17.80%
Ilayangudi,197,GEN,"Anbalangan, P.",All India Anna Dravida Munnetra Kazhagam,"1,16,902","89,193",76.30%,"4,203",4.70%
Sivaganga,198,GEN,"Subramanian, O.",Indian National Congress,"1,26,030","93,502",74.20%,"23,825",25.50%
Manamadurai,199,SC,K. Paramalai,Indian National Congress,"1,27,807","90,441",70.80%,"27,641",30.60%
Paramakudi,200,SC,"Balauchamy, K.",All India Anna Dravida Munnetra Kazhagam,"1,33,365","97,977",73.50%,"16,921",17.30%
Ramanathapuram,201,GEN,T. Ramasamy,All India Anna Dravida Munnetra Kazhagam,"1,30,455","98,025",75.10%,"20,727",21.10%
Kadaladi,202,GEN,A.Piranavanathan,Dravida Munetra Kazhagam,"1,50,980","99,358",65.80%,"6,702",6.70%
Mudukulathur,203,GEN,"Muthuvel, K.",Independent,"1,43,942","91,386",63.50%,"8,588",9.40%
Aruppukottai,204,GEN,M. Pitchai,All India Anna Dravida Munnetra Kazhagam,"1,23,905","91,882",74.20%,"3,434",3.70%
Sattur,205,GEN,K.K.S.S.R. Ramachandran,All India Anna Dravida Munnetra Kazhagam,"1,52,911","1,18,291",77.40%,"7,407",6.30%
Virudhunagar,206,GEN,"Arumugam, A.S.A.",Janta Party,"1,31,781","99,008",75.10%,"7,076",7.10%
Sivakasi,207,GEN,"Balakrishnan, V.",All India Anna Dravida Munnetra Kazhagam,"1,51,831","1,13,004",74.40%,"10,801",9.60%
Srivilliputhur,208,GEN,"Thamaraikkani, R.",All India Anna Dravida Munnetra Kazhagam,"1,39,529","1,06,412",76.30%,"8,213",7.70%
