ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Royapuram,1,GEN,P. Punnurangam,Dravida Munetra Kazhagam,"1,18,621","82,256",69.30%,"1,295",1.60%
Harbour,2,GEN,A. Selvarasan,Dravida Munetra Kazhagam,"1,18,648","71,718",60.40%,"8,304",11.60%
Dr. Radhakrishnan Nagar,3,GEN,Venugopal S.,Indian National Congress,"1,62,902","1,09,161",67.00%,"3,851",3.50%
Park Town,4,GEN,K. Anbazhagan,Dravida Munetra Kazhagam,"1,19,597","76,286",63.80%,"2,927",3.80%
Perambur,5,SC,Parithi Elamyazhuthi,Dravida Munetra Kazhagam,"1,65,376","1,03,766",62.70%,"7,204",6.90%
Purasawalkam,6,GEN,Manoharan Nanjil K.,Dravida Munetra Kazhagam,"1,85,024","1,23,061",66.50%,"4,510",3.70%
Egmore,7,SC,"Balan, S.",Dravida Munetra Kazhagam,"1,15,430","57,878",50.10%,"2,549",4.40%
Anna Nagar,8,GEN,"Ramachandran, S. M.",Dravida Munetra Kazhagam,"1,96,896","1,23,640",62.80%,"7,726",6.20%
Theagaraya Nagar,9,GEN,K. Sourirajan,Indian National Congress,"1,60,537","1,01,830",63.40%,"8,884",8.70%
Thousand Lights,10,GEN,Krishnasamy K. A.,All India Anna Dravida Munnetra Kazhagam,"1,45,099","94,257",65.00%,"2,292",2.40%
Chepauk,11,GEN,"Rahman Khan, A.",Dravida Munetra Kazhagam,"1,00,943","65,965",65.30%,"8,988",13.60%
Triplicane,12,GEN,Abdul Samad,Dravida Munetra Kazhagam,"1,19,445","74,695",62.50%,"6,108",8.20%
Mylapore,13,GEN,"Valarmathi, B.",All India Anna Dravida Munnetra Kazhagam,"1,56,793","1,03,417",66.00%,"5,474",5.30%
Saidapet,14,GEN,"Saidai Duraisamy, Sa.",All India Anna Dravida Munnetra Kazhagam,"1,66,613","1,10,570",66.40%,190,0.20%
Gummidipundi,15,GEN,R. S. Munirathinam,All India Anna Dravida Munnetra Kazhagam,"1,34,311","1,05,425",78.50%,"12,047",11.40%
Ponneri,16,SC,K. P. K. Sekar Alias K. P. Kulasekaran,All India Anna Dravida Munnetra Kazhagam,"1,43,104","1,09,341",76.40%,"19,904",18.20%
Thiruvottiyur,17,GEN,G. K. J. Baarathi,Indian National Congress,"1,67,640","1,21,889",72.70%,"11,510",9.40%
Villivakkam,18,GEN,"Chintan, V. P.",Communist Party Of India (MARXIST),"2,57,909","1,72,650",66.90%,"1,046",0.60%
Alandur,19,GEN,"Abragham, M.",Dravida Munetra Kazhagam,"1,92,759","1,28,927",66.90%,906,0.70%
Tambaram,20,GEN,Ella Rajamanickam,All India Anna Dravida Munnetra Kazhagam,"2,22,649","1,51,401",68.00%,"7,146",4.70%
Tirupporur,21,SC,Thamizhmani,All India Anna Dravida Munnetra Kazhagam,"1,13,888","85,509",75.10%,"6,434",7.50%
Chengalpattu,22,GEN,"Jegadesan, Annor, G.",All India Anna Dravida Munnetra Kazhagam,"1,20,202","92,799",77.20%,"1,220",1.30%
Maduranthakam,23,GEN,"Arumugam, G.",Dravida Munetra Kazhagam,"1,20,021","91,796",76.50%,"2,360",2.60%
Acharapakkam,24,SC,K. Ethirajan,All India Anna Dravida Munnetra Kazhagam,"1,09,675","82,494",75.20%,"8,579",10.40%
Uthiramerur,25,GEN,"Narasimma Pallavan, K.",All India Anna Dravida Munnetra Kazhagam,"1,34,151","1,04,383",77.80%,"17,790",17.00%
Kancheepuram,26,GEN,"Balaji, K.",All India Anna Dravida Munnetra Kazhagam,"1,39,497","1,11,866",80.20%,"13,001",11.60%
Sriperumbudur,27,SC,"Yashoda, D.",Indian National Congress,"1,20,459","90,419",75.10%,"11,820",13.10%
Poonamallee,28,GEN,G. Ananthakrishna,Indian National Congress,"1,51,761","1,01,638",67.00%,"14,567",14.30%
Tiruvallur,29,GEN,S. Pattabiraman,All India Anna Dravida Munnetra Kazhagam,"1,19,300","91,815",77.00%,"4,553",5.00%
Tiruttani,30,GEN,"Shanmugam, R.",All India Anna Dravida Munnetra Kazhagam,"1,18,704","89,074",75.00%,"3,929",4.40%
Pallipet,31,GEN,"Narasimhan, P. N.",All India Anna Dravida Munnetra Kazhagam,"1,20,983","92,660",76.60%,"6,211",6.70%
Arakkonam,32,SC,V. K. Raju,Dravida Munetra Kazhagam,"1,34,680","1,05,130",78.10%,"6,313",6.00%
Sholinghur,33,GEN,N. Shunmugam,All India Anna Dravida Munnetra Kazhagam,"1,24,595","97,965",78.60%,"4,049",4.10%
Ranipet,34,GEN,M. Kadirvelu,Indian National Congress,"1,38,811","1,05,925",76.30%,"22,731",21.50%
Arcot,35,GEN,T. Palani,All India Anna Dravida Munnetra Kazhagam,"1,16,813","93,347",79.90%,"17,713",19.00%
Katpadi,36,GEN,G. Raghupathi,All India Anna Dravida Munnetra Kazhagam,"1,27,249","96,365",75.70%,"16,238",16.90%
Gudiyatham,37,GEN,R. Govindasamy,Indian National Congress,"1,15,465","88,147",76.30%,"6,447",7.30%
Pernambut,38,SC,K. Thamizharasan,All India Anna Dravida Munnetra Kazhagam,"1,19,028","88,722",74.50%,"11,393",12.80%
Vaniayambadi,39,GEN,H. Abdul Majeed,Indian National Congress,"1,23,922","89,820",72.50%,"1,285",1.40%
Natrampalli,40,GEN,T. Ambazhagan,All India Anna Dravida Munnetra Kazhagam,"1,37,300","1,03,414",75.30%,"29,210",28.20%
Tiruppattur,41,GEN,Shanmugam Y.,Indian National Congress,"1,34,589","99,758",74.10%,"18,103",18.10%
Chengam,42,SC,T. Swamikannu,All India Anna Dravida Munnetra Kazhagam,"1,11,906","80,841",72.20%,"24,731",30.60%
