ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Royapuram,1,GEN,D. Jayakumar,All India Anna Dravida Munnetra Kazhagam,"1,33,943","79,579",59.40%,"16,653",12.43
Harbour,2,GEN,Karunanidhi M.,Dravida Munetra Kazhagam,"1,21,040","64,382",53.20%,890,0.74
Dr. Radhakrishnan Nagar,3,GEN,Madhusudhnan E.,All India Anna Dravida Munnetra Kazhagam,"1,99,052","1,13,180",56.90%,"24,952",12.54
Park Town,4,GEN,Balaraman U.,Indian National Congress,"1,27,309","69,801",54.80%,"11,835",9.3
Perambur,5,SC,Dr. M. P. Sekar,All India Anna Dravida Munnetra Kazhagam,"2,14,067","1,18,862",55.50%,"15,452",7.22
Purasawalkam,6,GEN,Ranganathan B.,Indian National Congress,"2,31,735","1,29,951",56.10%,"22,832",9.85
Egmore,7,SC,Elamvazhuthi,Dravida Munetra Kazhagam,"1,28,272","46,109",35.90%,"1,203",0.94
Anna Nagar,8,GEN,A. Chellakumar,Indian National Congress,"2,62,348","1,33,530",50.90%,"27,298",10.41
Theagaraya Nagar,9,GEN,S. Jayakumar,All India Anna Dravida Munnetra Kazhagam,"2,04,830","1,06,659",52.10%,"31,313",15.29
Thousand Lights,10,GEN,Krishna Swamy K.A.,All India Anna Dravida Munnetra Kazhagam,"1,76,708","99,519",56.30%,"16,981",9.61
Chepauk,11,GEN,Zeenath Sheriffdeen,Indian National Congress,"1,07,928","59,410",55.00%,"4,456",4.13
Triplicane,12,GEN,Mohamad Asif,All India Anna Dravida Munnetra Kazhagam,"1,29,453","71,947",55.60%,"12,452",9.62
Mylapore,13,GEN,Rangarajan T.M.,All India Anna Dravida Munnetra Kazhagam,"1,97,453","1,07,421",54.40%,"26,696",13.52
Saidapet,14,GEN,Balan M.K.,All India Anna Dravida Munnetra Kazhagam,"2,09,145","1,11,831",53.50%,"22,762",10.88
Gummidipundi,15,GEN,Sakkubai R.,All India Anna Dravida Munnetra Kazhagam,"1,68,898","1,17,401",69.50%,"32,919",19.49
Ponneri,16,SC,Ravikumar E.,All India Anna Dravida Munnetra Kazhagam,"1,86,052","1,24,003",66.60%,"41,253",22.17
Thiruvottiyur,17,GEN,Kuppan K.,All India Anna Dravida Munnetra Kazhagam,"2,62,462","1,54,830",59.00%,"27,322",10.41
Villivakkam,18,GEN,Kalan E.,Indian National Congress,"4,28,210","2,18,138",50.90%,"46,233",10.8
Alandur,19,GEN,Annamalai S.,All India Anna Dravida Munnetra Kazhagam,"2,96,098","1,54,153",52.10%,"34,911",11.79
Tambaram,20,GEN,S.M. Krishnan,Indian National Congress,"3,73,559","1,98,082",53.00%,"46,848",12.54
Tirupporur,21,SC,M. Dhanpal,All India Anna Dravida Munnetra Kazhagam,"1,59,767","1,09,267",68.40%,"30,564",19.13
Chengalpattu,22,GEN,Vardarajan C.D.,All India Anna Dravida Munnetra Kazhagam,"1,59,450","1,08,776",68.20%,"16,798",10.53
Maduranthakam,23,GEN,P. Chockalingam,All India Anna Dravida Munnetra Kazhagam,"1,49,439","1,04,907",70.20%,"18,403",12.31
Acharapakkam,24,SC,Ramakrishanan,All India Anna Dravida Munnetra Kazhagam,"1,38,588","96,025",69.30%,"24,725",17.84
Uthiramerur,25,GEN,Kanchi Panneerselvam,All India Anna Dravida Munnetra Kazhagam,"1,66,439","1,17,489",70.60%,"34,094",20.48
