ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Kancheepuram,26,GEN,Pattabiraman C.P.,All India Anna Dravida Munnetra Kazhagam,"1,78,367","1,20,993",67.80%,"27,266",15.29
Sriperumbudur,27,SC,Polur Varadhan,Indian National Congress,"1,60,453","1,08,104",67.40%,"32,436",20.22
Poonamallee,28,GEN,D. Sudarsanam,Indian National Congress,"2,12,565","1,26,397",59.50%,"24,152",11.36
Tiruvallur,29,GEN,Sakkubai Devaraj D.,All India Anna Dravida Munnetra Kazhagam,"1,52,972","99,876",65.30%,"26,420",17.27
Tiruttani,30,GEN,Rasanbabu Alias Thanigai Babu K.,All India Anna Dravida Munnetra Kazhagam,"1,53,507","1,00,112",65.20%,"22,192",14.46
Pallipet,31,GEN,Eakambara Reddy A.,Indian National Congress,"1,52,410","99,256",65.10%,"30,740",20.17
Arkonam,32,SC,Lata Priyakumar,Indian National Congress,"1,70,964","1,13,940",66.60%,"30,982",18.12
Sholinghur,33,GEN,A.M. Munirathinam,Indian National Congress,"1,58,696","1,11,992",70.60%,"34,110",21.49
Ranipet,34,GEN,N.G. Venugopal,All India Anna Dravida Munnetra Kazhagam,"1,85,387","1,26,933",68.50%,"32,872",17.73
Arcot,35,GEN,Viswanathan G.,All India Anna Dravida Munnetra Kazhagam,"1,43,916","1,04,697",72.70%,"34,273",23.81
Katpadi,36,GEN,K.M. Kalaiselvi,All India Anna Dravida Munnetra Kazhagam,"1,73,715","1,15,998",66.80%,"26,139",15.05
Gudiyatham,37,GEN,Dhandayudapani V.,Indian National Congress,"1,57,089","1,01,899",64.90%,"34,899",22.22
Pernambut,38,SC,Parandaman J.,All India Anna Dravida Munnetra Kazhagam,"1,61,962","1,03,868",64.10%,"42,498",26.24
Vaniayambadi,39,GEN,Sampath E.,Indian National Congress,"1,72,507","99,517",57.70%,"19,831",11.5
Natrampalli,40,GEN,Indrakumari R.,All India Anna Dravida Munnetra Kazhagam,"1,76,023","1,23,398",70.10%,"47,529",27
Tiruppattur,41,GEN,Sundarvel A.K.C.,All India Anna Dravida Munnetra Kazhagam,"1,81,330","1,15,461",63.70%,"35,904",19.8
Chengam,42,SC,P. Veera Pandiyan,All India Anna Dravida Munnetra Kazhagam,"1,44,912","97,856",67.50%,"37,617",25.96
Thandarambattu,43,GEN,Sundaram M.K.,All India Anna Dravida Munnetra Kazhagam,"1,54,707","1,11,625",72.20%,"36,863",23.83
Tiruvannamalai,44,GEN,Kannan V.,Indian National Congress,"1,71,857","1,17,301",68.30%,"28,919",16.83
Kalasapakkam,45,GEN,Sundarasami M.,Indian National Congress,"1,56,148","1,17,508",75.30%,"32,944",21.1
Polur,46,GEN,T. Vediyappan,All India Anna Dravida Munnetra Kazhagam,"1,51,807","1,01,913",67.10%,"38,625",25.44
Anaicut,47,GEN,Dharamalingam K.,All India Anna Dravida Munnetra Kazhagam,"1,61,182","1,00,310",62.20%,"35,533",22.05
Vellore,48,GEN,Gnanasekaran C.,Indian National Congress,"1,92,744","1,06,184",55.10%,"23,066",11.97
Arni,49,GEN,Jaison Jacob I.R.,All India Anna Dravida Munnetra Kazhagam,"1,61,120","1,17,747",73.10%,"34,312",21.3
Cheyyar,50,GEN,A. Devaraj,All India Anna Dravida Munnetra Kazhagam,"1,57,173","1,13,737",72.40%,"35,955",22.88
Vandavasi,51,SC,Thamazharasan C.K.,All India Anna Dravida Munnetra Kazhagam,"1,62,559","1,09,576",67.40%,"29,494",18.14
Peranamallur,52,GEN,Srinivasan A.K.,All India Anna Dravida Munnetra Kazhagam,"1,58,084","1,08,414",68.60%,"27,172",17.19
Melmalayanur,53,GEN,Janakiramam G.,Indian National Congress,"1,60,282","1,10,444",68.90%,"26,492",16.53
Gingee,54,GEN,Eramasass S.S.R.,Indian National Congress,"1,66,223","1,13,722",68.40%,"23,474",14.12
Tindivanam,55,GEN,Pannirselvam S.,Indian National Congress,"1,45,939","99,022",67.90%,"19,035",13.04
Vanur,56,SC,Arumugam S.,All India Anna Dravida Munnetra Kazhagam,"1,69,151","1,13,116",66.90%,"36,469",21.56
Kandamangalam,57,SC,V. Subramaniam,All India Anna Dravida Munnetra Kazhagam,"1,66,813","1,11,517",66.90%,"35,280",21.15
Villupuram,58,GEN,D. Janaardhanan,All India Anna Dravida Munnetra Kazhagam,"1,76,980","1,18,279",66.80%,"17,440",9.85
Mugaiyur,59,GEN,Savithiri Ammal R.,All India Anna Dravida Munnetra Kazhagam,"1,55,325","1,05,210",67.70%,"25,420",16.37
Thirunavalur,60,GEN,J. Panneerselvam,All India Anna Dravida Munnetra Kazhagam,"1,39,727","1,00,702",72.10%,"27,986",20.03
Ulundurpet,61,SC,Anandan M.,All India Anna Dravida Munnetra Kazhagam,"1,76,021","1,17,557",66.80%,"45,285",25.73
Nellikuppam,62,GEN,Damotharan C.,All India Anna Dravida Munnetra Kazhagam,"1,45,061","1,01,118",69.70%,"35,108",24.2
Cuddalore,63,GEN,Venkatesan P.R.S.,Indian National Congress,"1,72,538","1,09,294",63.30%,"15,175",8.8
Panruti,64,GEN,Ramachandaran S.,Pattali Makkal Katchi,"1,47,023","1,11,602",75.90%,"1,122",0.76
Kurinjipadi,65,GEN,Sivasubramanian K.,All India Anna Dravida Munnetra Kazhagam,"1,72,154","1,12,908",65.60%,"12,471",7.24
Bhuvanagiri,66,GEN,G. Malliga,All India Anna Dravida Munnetra Kazhagam,"1,49,984","1,07,472",71.70%,"20,634",13.76
Kattumannarkoil,67,SC,Rajendiran N.R.,All India Anna Dravida Munnetra Kazhagam,"1,36,540","95,251",69.80%,"26,318",19.27
Chidambaram,68,GEN,Alagiri S.,Indian National Congress,"1,42,369","98,437",69.10%,"19,653",13.8
Vridhachalam,69,GEN,Aranganathan R.D.,All India Anna Dravida Munnetra Kazhagam,"1,62,791","1,19,101",73.20%,"14,297",8.78
Mangalore,70,SC,Puratchimani S.,Indian National Congress,"1,69,669","1,15,622",68.10%,"35,753",21.07
Rishivandiam,71,GEN,Govindasraju M.,All India Anna Dravida Munnetra Kazhagam,"1,48,616","1,00,337",67.50%,"33,131",22.29
Chinnasalem,72,GEN,Paramasivam R.P.,All India Anna Dravida Munnetra Kazhagam,"1,59,970","1,07,512",67.20%,"39,042",24.41
Sankarapuram,73,GEN,Ramaswamy C.,All India Anna Dravida Munnetra Kazhagam,"1,64,280","1,11,533",67.90%,"45,078",27.44
Hosur,74,GEN,Manoharan K.A.,Indian National Congress,"1,77,739","1,03,376",58.20%,"8,746",4.92
Thalli,75,GEN,M. Venkataramareddy,Indian National Congress,"1,47,078","88,049",59.90%,"10,561",7.18
Kaveripattinam,76,GEN,Munusamy K.P.,All India Anna Dravida Munnetra Kazhagam,"1,54,730","1,06,669",68.90%,"47,236",30.53
Krishnagiri,77,GEN,Munivektatappan K.,All India Anna Dravida Munnetra Kazhagam,"1,55,585","96,861",62.30%,"39,968",25.69
Bargur,78,GEN,J Jayalalitha,All India Anna Dravida Munnetra Kazhagam,"1,57,980","1,09,478",69.30%,"37,215",23.56
Harur,79,SC,Abaranji P.,Indian National Congress,"1,79,487","1,17,670",65.60%,"42,464",23.66
Morappur,80,GEN,K. Singaram,All India Anna Dravida Munnetra Kazhagam,"1,48,890","1,03,339",69.40%,"29,504",19.82
Palacode,81,GEN,Sekhar M.G,All India Anna Dravida Munnetra Kazhagam,"1,61,704","1,07,000",66.20%,"39,259",24.28
Dharmapuri,82,GEN,Ponnusamy P.,Indian National Congress,"1,71,628","1,09,553",63.80%,"26,893",15.67
Pennagaram,83,GEN,V. Purushothaman,All India Anna Dravida Munnetra Kazhagam,"1,60,888","1,00,854",62.70%,"18,828",11.7
Mettur,84,GEN,S. Sundarambal,All India Anna Dravida Munnetra Kazhagam,"1,78,129","1,12,241",63.00%,"26,543",14.9
Taramangalam,85,GEN,Palanisamy R.,Indian National Congress,"1,66,184","1,10,187",66.30%,"8,334",5.01
Omalur,86,GEN,Krishnan C.,All India Anna Dravida Munnetra Kazhagam,"1,59,123","97,793",61.50%,"37,353",23.47
Yercaud,87,ST,Perumal C.,All India Anna Dravida Munnetra Kazhagam,"1,41,647","86,806",61.30%,"45,579",32.18
Salem-I,88,GEN,Jayaraman S.R.,Indian National Congress,"1,85,710","1,12,388",60.50%,"41,094",22.13
Salem-Ii,89,GEN,Natesan M.,All India Anna Dravida Munnetra Kazhagam,"1,83,748","1,07,103",58.30%,"39,907",21.72
Veerapandi,90,GEN,Arjunan K.,All India Anna Dravida Munnetra Kazhagam,"1,94,734","1,20,905",62.10%,"56,274",28.9
Panamarathupatty,91,GEN,Rajaram K.,All India Anna Dravida Munnetra Kazhagam,"1,65,166","1,05,093",63.60%,"50,355",30.49
Attur,92,GEN,V. Tamilarasu,All India Anna Dravida Munnetra Kazhagam,"1,51,368","98,151",64.80%,"36,585",24.17
Talavasal,93,SC,Kandasamy K.,Indian National Congress,"1,69,151","1,04,061",61.50%,"53,447",31.6
Rasipuram,94,GEN,K. Palaniammal,All India Anna Dravida Munnetra Kazhagam,"1,67,994","1,08,385",64.50%,"50,230",29.9
Sendamangalam,95,ST,Chinnasamy K.,All India Anna Dravida Munnetra Kazhagam,"1,69,962","1,01,290",59.60%,"55,561",32.69
Namakkal,96,SC,Anbalagan S.,All India Anna Dravida Munnetra Kazhagam,"1,86,364","1,17,013",62.80%,"49,895",26.77
Kapilamalai,97,GEN,Saraswathi P.,All India Anna Dravida Munnetra Kazhagam,"1,69,105","1,11,595",66.00%,"43,853",25.93
Tiruchengode,98,GEN,Selvaganapathi T.M.,All India Anna Dravida Munnetra Kazhagam,"2,60,517","1,57,563",60.50%,"78,659",30.19
Sankari,99,SC,Saroja V.,All India Anna Dravida Munnetra Kazhagam,"1,89,946","1,16,048",61.10%,"51,959",27.35
Edapadi,100,GEN,K. Palanisamy,All India Anna Dravida Munnetra Kazhagam,"1,95,456","1,28,097",65.50%,"41,266",21.11
Mettupalayam,101,GEN,Sulochana L.,All India Anna Dravida Munnetra Kazhagam,"1,86,264","1,24,756",67.00%,"41,739",22.41
Avanashi,102,SC,M. Seeniammal,All India Anna Dravida Munnetra Kazhagam,"1,60,494","1,07,440",66.90%,"46,149",28.75
Thondamuthur,103,GEN,C. Aranganayagam,All India Anna Dravida Munnetra Kazhagam,"2,60,841","1,54,476",59.20%,"47,144",18.07
Singanallur,104,GEN,Govindaraj P.,All India Anna Dravida Munnetra Kazhagam,"2,07,250","1,27,171",61.40%,"21,970",10.6
Coimbatore West,105,GEN,Selvaraj K.,Indian National Congress,"1,45,254","82,245",56.60%,"16,498",11.36
Coimbatore East,106,GEN,Lakshmanan V.K.,Indian National Congress,"1,62,322","85,021",52.40%,"17,525",10.8
Perur,107,GEN,Raju K.P.,All India Anna Dravida Munnetra Kazhagam,"2,25,491","1,38,172",61.30%,"29,659",13.15
Kinathukkadavu,108,GEN,Palanisamy N.S.,All India Anna Dravida Munnetra Kazhagam,"1,47,834","1,01,649",68.80%,"32,566",22.03
Pollachi,109,GEN,Chandrasekar V.P.,All India Anna Dravida Munnetra Kazhagam,"1,78,093","1,17,961",66.20%,"32,541",18.27
Valparai,110,SC,A. Sridharan,All India Anna Dravida Munnetra Kazhagam,"1,42,551","94,270",66.10%,"21,184",14.86
Udumalpet,111,GEN,K.P. Manivasagam,All India Anna Dravida Munnetra Kazhagam,"1,86,110","1,28,386",69.00%,"30,272",16.27
Dharapuram,112,SC,Eswaramurthi P.,All India Anna Dravida Munnetra Kazhagam,"1,62,002","1,05,621",65.20%,"37,945",23.42
Vellakoil,113,GEN,Dhurai Ramaswammy,All India Anna Dravida Munnetra Kazhagam,"1,57,927","1,11,672",70.70%,"29,587",18.73
Pongalur,114,GEN,Balasubramaniyam S.R.,Indian National Congress,"1,46,903","1,01,992",69.40%,"41,062",27.95
Palladam,115,GEN,Duraimurugan K.S.,All India Anna Dravida Munnetra Kazhagam,"1,83,291","1,19,298",65.10%,"32,724",17.85
Tiruppur,116,GEN,Palanisamy V.,All India Anna Dravida Munnetra Kazhagam,"2,55,427","1,63,333",63.90%,"36,641",14.34
Kangayam,117,GEN,J Jayalalitha,All India Anna Dravida Munnetra Kazhagam,"1,60,773","1,13,466",70.60%,"33,291",20.71
Modakurichi,118,GEN,Kavinilavu Dharmaraj,All India Anna Dravida Munnetra Kazhagam,"1,88,095","1,30,019",69.10%,"36,475",19.39
Perundurai,119,GEN,V.N. Subramanian,All India Anna Dravida Munnetra Kazhagam,"1,64,972","1,13,788",69.00%,"53,217",32.26
Erode,120,GEN,Manickam C.,All India Anna Dravida Munnetra Kazhagam,"2,67,353","1,55,105",58.00%,"43,688",16.34
Bhavani,121,GEN,Muthusamy S.,All India Anna Dravida Munnetra Kazhagam,"1,51,501","1,03,332",68.20%,"40,470",26.71
Andhiyur,122,SC,Periasamy V.,All India Anna Dravida Munnetra Kazhagam,"1,44,480","90,814",62.90%,"31,062",21.5
Gobichettipalayam,123,GEN,Sengottayan K.A.,All India Anna Dravida Munnetra Kazhagam,"1,42,551","1,00,104",70.20%,"39,212",27.51
Bhavanisagar,124,GEN,V.K. Chinnasamy,All India Anna Dravida Munnetra Kazhagam,"1,54,848","1,05,164",67.90%,"42,587",27.5
Sathyamangalam,125,GEN,Saraswathi A.T.,All India Anna Dravida Munnetra Kazhagam,"1,51,431","99,238",65.50%,"36,938",24.39
Coonoor,126,SC,Karuppusamy M.,All India Anna Dravida Munnetra Kazhagam,"1,55,447","93,372",60.10%,"22,151",14.25
Ootacamund,127,GEN,Raju H.M.,Indian National Congress,"1,59,035","90,189",56.70%,"25,887",16.28
Gudalur,128,GEN,Raju K.R.,All India Anna Dravida Munnetra Kazhagam,"1,81,632","1,16,928",64.40%,"12,306",6.78
Palani,129,SC,A. Subburathinam,All India Anna Dravida Munnetra Kazhagam,"1,81,002","1,08,319",59.80%,"39,813",22
Oddanchatram,130,GEN,A.T Chellasamy,All India Anna Dravida Munnetra Kazhagam,"1,70,862","1,07,579",63.00%,"42,464",24.85
Periyakulam,131,GEN,M. Periyaveeran,All India Anna Dravida Munnetra Kazhagam,"1,75,072","1,07,094",61.20%,"42,042",24.01
Theni,132,GEN,V.R. Nedunchezhian,All India Anna Dravida Munnetra Kazhagam,"1,78,491","1,12,451",63.00%,"41,300",23.14
Bodinayakkanur,133,GEN,Panneer Selvam V.,All India Anna Dravida Munnetra Kazhagam,"1,68,572","1,02,493",60.80%,"37,044",21.98
Cumbum,134,GEN,O.R. Ramachandaran,Indian National Congress,"1,69,718","1,06,560",62.80%,"24,203",14.26
Andipatti,135,GEN,Thavasi K.,All India Anna Dravida Munnetra Kazhagam,"1,72,603","1,05,268",61.00%,"42,267",24.49
Sedapatti,136,GEN,R. Muthiah,All India Anna Dravida Munnetra Kazhagam,"1,47,453","91,662",62.20%,"24,469",16.59
Thirumangalam,137,GEN,"T,k. Radhakrishnan",All India Anna Dravida Munnetra Kazhagam,"1,60,424","99,794",62.20%,"31,263",19.49
Usilampatti,138,GEN,R. Pandiammal,All India Anna Dravida Munnetra Kazhagam,"1,55,036","85,717",55.30%,"3,194",2.06
Nilakottai,139,SC,A.S. Ponnammal,Indian National Congress,"1,61,399","99,469",61.60%,"37,060",22.96
Sholavandan,140,GEN,Paramasivan A.M.,All India Anna Dravida Munnetra Kazhagam,"1,49,340","1,00,977",67.60%,"35,313",23.65
Tirupparankundram,141,GEN,Andi Thevar S.,All India Anna Dravida Munnetra Kazhagam,"2,49,769","1,42,729",57.10%,"30,257",12.11
Madurai West,142,GEN,Shanmugam S.V.,Indian National Congress,"1,83,245","95,497",52.10%,"26,922",14.69
Madurai Central,143,GEN,A. Deivanayagam,Indian National Congress,"1,41,435","77,342",54.70%,"20,608",14.57
Madurai East,144,GEN,Amarnath O.S.,All India Anna Dravida Munnetra Kazhagam,"1,42,993","80,076",56.00%,"30,088",21.04
Samayanallur,145,SC,Kalirajan M.,All India Anna Dravida Munnetra Kazhagam,"2,45,314","1,36,679",55.70%,"55,456",22.61
Melur,146,GEN,K. V. V. Rajamanickam,Indian National Congress,"1,75,149","1,14,448",65.30%,"52,772",30.13
Natham,147,GEN,Andi Ambalam M.,Indian National Congress,"1,56,966","1,02,182",65.10%,"47,778",30.44
Dindigul,148,GEN,B. Nirmala,All India Anna Dravida Munnetra Kazhagam,"2,15,517","1,29,495",60.10%,"44,004",20.42
Athoor,149,GEN,Durai S. M.,All India Anna Dravida Munnetra Kazhagam,"1,89,272","1,21,698",64.30%,"46,097",24.35
Vedasandur,150,GEN,Gandhirajan S.,All India Anna Dravida Munnetra Kazhagam,"2,03,269","1,28,226",63.10%,"67,090",33.01
Aravakurichi,151,GEN,Mariyamul Asia,All India Anna Dravida Munnetra Kazhagam,"1,73,736","1,09,917",63.30%,"20,952",12.06
Karur,152,GEN,Chinnasamy M.,All India Anna Dravida Munnetra Kazhagam,"2,16,246","1,41,544",65.50%,"44,092",20.39
Krishnarayapuram,153,SC,Arivalagan A.,All India Anna Dravida Munnetra Kazhagam,"1,65,027","1,08,481",65.70%,"56,436",34.2
Marungapuri,154,GEN,K. Ponnusamy,All India Anna Dravida Munnetra Kazhagam,"1,63,372","1,17,232",71.80%,"41,904",25.65
Kulithalai,155,GEN,A. Pappa Sundaram,All India Anna Dravida Munnetra Kazhagam,"1,65,240","1,18,232",71.60%,"47,341",28.65
Thottiam,156,GEN,Sivapathi N. R.,All India Anna Dravida Munnetra Kazhagam,"1,59,843","1,10,712",69.30%,"52,726",32.99
Uppiliapuram,157,ST,Ravichandaran V.,All India Anna Dravida Munnetra Kazhagam,"1,65,647","1,06,852",64.50%,"37,356",22.55
Musiri,158,GEN,M. Thangavel,All India Anna Dravida Munnetra Kazhagam,"1,81,551","1,13,751",62.70%,"31,244",17.21
Lalgudi,159,GEN,J. Logambal,Indian National Congress,"1,66,783","1,23,825",74.20%,"13,517",8.1
Perambalur,160,SC,Sezhian T.,All India Anna Dravida Munnetra Kazhagam,"1,73,979","1,11,623",64.20%,"50,334",28.93
Varahur,161,SC,E.T. Ponnuvelu,All India Anna Dravida Munnetra Kazhagam,"1,55,654","1,06,342",68.30%,"28,229",18.14
Ariyalur,162,GEN,Manimegalai S.,All India Anna Dravida Munnetra Kazhagam,"1,54,420","1,17,536",76.10%,"23,129",14.98
Andimadam,163,GEN,Thangarajulk R.,Indian National Congress,"1,32,570","1,01,692",76.70%,"7,672",5.79
Jayankondam,164,GEN,Chinnappan K. K.,Indian National Congress,"1,51,898","1,16,006",76.40%,"16,168",10.64
Srirangam,165,GEN,P. A. Krishnan,All India Anna Dravida Munnetra Kazhagam,"1,88,175","1,22,281",65.00%,"51,544",27.39
Tiruchirapalli-I,166,GEN,S. Arokiasamy,All India Anna Dravida Munnetra Kazhagam,"1,29,007","77,315",59.90%,"14,935",11.58
Tiruchirapalli-Ii,167,GEN,Mala Selvi G. R.,All India Anna Dravida Munnetra Kazhagam,"1,80,072","98,060",54.50%,"20,544",11.41
Thiruverambur,168,GEN,T. Rathinavel,All India Anna Dravida Munnetra Kazhagam,"2,11,377","1,19,371",56.50%,"26,522",12.55
Sirkali,169,SC,Moorthy T.,All India Anna Dravida Munnetra Kazhagam,"1,50,643","1,06,089",70.40%,"33,984",22.56
Poompuhar,170,GEN,M. Poorasamy,All India Anna Dravida Munnetra Kazhagam,"1,43,688","1,02,364",71.20%,"19,371",13.48
Mayuram,171,GEN,M. M. S. Abul Hassan,Indian National Congress,"1,46,043","1,01,089",69.20%,"23,308",15.96
Kuttalam,172,GEN,Asaimani S.,All India Anna Dravida Munnetra Kazhagam,"1,48,950","1,11,464",74.80%,"22,751",15.27
Nannilam,173,SC,K. Gopal,All India Anna Dravida Munnetra Kazhagam,"1,52,477","1,10,473",72.50%,"17,208",11.29
Tiruvarur,174,SC,V. Thambusamy,Communist Party Of India (MARXIST),"1,58,043","1,11,816",70.80%,"5,247",3.32
Nagapattinam,175,GEN,Kodimari R.,All India Anna Dravida Munnetra Kazhagam,"1,49,065","1,04,836",70.30%,"9,934",6.66
Vedaranyam,176,GEN,P. V. Rajendran,Indian National Congress,"1,41,246","1,16,520",82.50%,"16,868",11.94
Tiruthuraipundi,177,SC,Palanisamy G.,Communist Party Of India,"1,61,577","1,19,460",73.90%,"12,066",7.47
Mannargudi,178,GEN,K. Srinivasan,All India Anna Dravida Munnetra Kazhagam,"1,59,854","1,14,547",71.70%,"7,396",4.63
Pattukkottai,179,GEN,Balasubramaniam K.,All India Anna Dravida Munnetra Kazhagam,"1,66,059","1,12,219",67.60%,"28,736",17.3
Peravurani,180,GEN,Singaram R.,Indian National Congress,"1,54,246","1,17,227",76.00%,"44,542",28.88
Orathanad,181,GEN,Alaguthirunavukkabasu,All India Anna Dravida Munnetra Kazhagam,"1,56,922","1,19,319",76.00%,"20,880",13.31
Thiruvonam,182,GEN,Thangamuthu K.,All India Anna Dravida Munnetra Kazhagam,"1,61,027","1,19,695",74.30%,"34,968",21.72
Thanjavur,183,GEN,Somasundaram S. D.,All India Anna Dravida Munnetra Kazhagam,"1,83,277","1,12,205",61.20%,"19,861",10.84
Tiruvaiyaru,184,GEN,Kalaiperumal P.,All India Anna Dravida Munnetra Kazhagam,"1,45,334","99,285",68.30%,"20,399",14.04
Papanasam,185,GEN,S. Rajaraman,Indian National Congress,"1,42,902","1,00,463",70.30%,"21,925",15.34
Valangiman,186,SC,Panchavarnam K.,All India Anna Dravida Munnetra Kazhagam,"1,29,813","93,691",72.20%,"27,688",21.33
Kumbakonam,187,GEN,Eramanathan R.,All India Anna Dravida Munnetra Kazhagam,"1,60,229","1,06,407",66.40%,"36,309",22.66
Thiruvidamarudur,188,GEN,N. Fanneerselvam,Indian National Congress,"1,53,316","1,14,371",74.60%,"25,131",16.39
Thirumayam,189,GEN,S. Regupathy,All India Anna Dravida Munnetra Kazhagam,"1,72,211","1,10,476",64.20%,"44,731",25.97
Kolathur,190,SC,C. Kulandaivelu,All India Anna Dravida Munnetra Kazhagam,"1,74,949","1,24,191",71.00%,"65,312",37.33
Pudukkottai,191,GEN,Swaminathan C.,Indian National Congress,"1,83,488","1,26,363",68.90%,"43,399",23.65
Alangudi,192,GEN,Shanmuganathan S.,All India Anna Dravida Munnetra Kazhagam,"1,77,995","1,32,452",74.40%,"49,701",27.92
Arantangi,193,GEN,S. Thirunavukkarasu,Thayaga Marumalrchi Kazhagam,"1,91,195","1,35,699",71.00%,"21,421",11.2
Tiruppattur,194,GEN,S. Kannappan,All India Anna Dravida Munnetra Kazhagam,"1,53,932","99,063",64.40%,"31,456",20.43
Karaikudi,195,GEN,Karpagam M.,All India Anna Dravida Munnetra Kazhagam,"1,88,714","1,13,581",60.20%,"38,311",20.3
Tiruvadanai,196,GEN,Ramasamy Ambalam,Indian National Congress,"1,80,875","1,08,895",60.20%,"30,536",16.88
Ilayangudi,197,GEN,Ma.Sa.Ma. Ramachandran,All India Anna Dravida Munnetra Kazhagam,"1,43,630","89,890",62.60%,"24,130",16.8
Sivaganga,198,GEN,K. R. Muruganandam,All India Anna Dravida Munnetra Kazhagam,"1,57,969","1,00,453",63.60%,"45,871",29.04
Manamadurai,199,SC,Subramanian V. M.,All India Anna Dravida Munnetra Kazhagam,"1,57,865","99,033",62.70%,"38,288",24.25
Paramakudi,200,SC,Sundararaj S.,All India Anna Dravida Munnetra Kazhagam,"1,71,075","1,01,523",59.30%,"38,466",22.48
Ramanathapuram,201,GEN,Thennavan M.,All India Anna Dravida Munnetra Kazhagam,"1,76,322","1,08,496",61.50%,"30,369",17.22
Kadaladi,202,GEN,Sathiamoorthy V.,All India Anna Dravida Munnetra Kazhagam,"1,92,136","1,05,274",54.80%,"29,454",15.33
Mudukulathur,203,GEN,Balakrishnan S.,Indian National Congress,"1,74,823","99,909",57.10%,"11,044",6.32
Aruppukottai,204,GEN,Manimeghalai V. G.,All India Anna Dravida Munnetra Kazhagam,"1,57,995","1,00,120",63.40%,"19,919",12.61
Sattur,205,GEN,Ramachandaran K.K.S.S.R.,Thayaga Marumalrchi Kazhagam,"1,92,024","1,27,185",66.20%,"2,239",1.17
Virudhunagar,206,GEN,Sanjay Ramaswamy,Indian Congress (SOCIALIST- SARAT CHANDRA SINHA),"1,64,459","1,00,304",61.00%,"19,401",11.8
Sivakasi,207,GEN,Balagangadharan J.,All India Anna Dravida Munnetra Kazhagam,"2,08,155","1,30,368",62.60%,"47,726",22.93
