ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Anna Nagar,21,GEN,Chennai,Mohan M.K.,Dravida Munetra Kazhagam,"2,85,165","1,68,933",59.20%,1687,1.00%,
Virugampakkam,22,GEN,Chennai,V.N.Virugai Ravi,All India Anna Dravida Munnetra Kazhagam,"2,86,046","1,67,442",58.50%,2333,1.40%,
Saidapet,23,GEN,Chennai,Subramanian.Ma,Dravida Munetra Kazhagam,"2,79,207","1,64,477",58.90%,16255,9.90%,
Thiyagarayanagar,24,GEN,Chennai,Sathyanarayanan.B,All India Anna Dravida Munnetra Kazhagam,"2,40,352","1,38,412",57.60%,3155,2.30%,
Mylapore,25,GEN,Chennai,Nataraj R,All India Anna Dravida Munnetra Kazhagam,"2,57,032","1,52,344",59.30%,14728,9.70%,
Velachery,26,GEN,Chennai,Vagai Chanderasekar,Dravida Munetra Kazhagam,"2,96,329","1,71,297",57.80%,8872,5.20%,
Shozhinganallur,27,GEN,Kancheepuram,Aravind Ramesh S,Dravida Munetra Kazhagam,"5,75,773","3,38,365",58.80%,14913,4.40%,
Alandur,28,GEN,Kancheepuram,Anbarasan T.M.,Dravida Munetra Kazhagam,"3,41,623","2,12,270",62.10%,19169,9.00%,
Sriperumbudur,29,SC,Kancheepuram,Palani.K,All India Anna Dravida Munnetra Kazhagam,"3,00,120","2,33,186",77.70%,10716,4.60%,
Pallavaram,30,GEN,Kancheepuram,Karunanithi.I,Dravida Munetra Kazhagam,"4,03,787","2,45,381",60.80%,22165,9.00%,
Tambaram,31,GEN,Kancheepuram,S R Raja,Dravida Munetra Kazhagam,"3,72,883","2,30,348",61.80%,14445,6.30%,
Chengalpattu,32,GEN,Kancheepuram,Varalakshmi.M,Dravida Munetra Kazhagam,"3,66,345","2,46,190",67.20%,26292,10.70%,
Thiruporur,33,GEN,Kancheepuram,Kothandapani. M,All India Anna Dravida Munnetra Kazhagam,"2,50,050","1,99,025",79.60%,950,0.50%,
Cheyyur,34,SC,Kancheepuram,Arasu R T,Dravida Munetra Kazhagam,"2,11,135","1,67,307",79.20%,304,0.20%,
Madurantakam,35,SC,Kancheepuram,S.Pugazhenthi,Dravida Munetra Kazhagam,"2,19,928","1,76,354",80.20%,2957,1.70%,
Uthiramerur,36,GEN,Kancheepuram,Sundar.K,Dravida Munetra Kazhagam,"2,42,572","1,97,126",81.30%,12156,6.20%,
Kancheepuram,37,GEN,Kancheepuram,C.V.M.P. Ezhilarasan,Dravida Munetra Kazhagam,"2,96,751","2,20,467",74.30%,7548,3.40%,
Arakkonam,38,SC,Vellore,Ravi S,All India Anna Dravida Munnetra Kazhagam,"2,17,390","1,63,392",75.20%,4161,2.50%,
Sholingur,39,GEN,Vellore,Parthiban.N.G,All India Anna Dravida Munnetra Kazhagam,"2,54,525","2,09,373",82.30%,9732,4.60%,
Katpadi,40,GEN,Vellore,Duraimurugan,Dravida Munetra Kazhagam,"2,27,250","1,75,378",77.20%,23946,13.70%,
Ranipet,41,GEN,Vellore,Gandhi.R,Dravida Munetra Kazhagam,"2,46,310","1,88,621",76.60%,7896,4.20%,
Arcot,42,GEN,Vellore,Eswarappan J L,Dravida Munetra Kazhagam,"2,44,127","2,01,388",82.50%,11091,5.50%,
Vellore,43,GEN,Vellore,Karthikeyan,Dravida Munetra Kazhagam,"2,47,628","1,68,879",68.20%,26210,15.50%,
Anaikattu,44,GEN,Vellore,Nandakumar A P,Dravida Munetra Kazhagam,"2,28,249","1,80,385",79.00%,8768,4.90%,
Kilvaithinankuppam,45,SC,Vellore,Loganathan.G,All India Anna Dravida Munnetra Kazhagam,"2,04,298","1,63,236",79.90%,9746,6.00%,
Gudiyattam,46,SC,Vellore,Jayanthi Padmanabhan .C,All India Anna Dravida Munnetra Kazhagam,"2,60,612","1,92,747",74.00%,11470,6.00%,
Vaniyambadi,47,GEN,Vellore,Nilofer,All India Anna Dravida Munnetra Kazhagam,"2,23,883","1,70,864",76.30%,14526,8.50%,
Ambur,48,GEN,Vellore,Balasubramani,All India Anna Dravida Munnetra Kazhagam,"2,10,433","1,59,443",75.80%,28006,17.60%,
Jolarpet,49,GEN,Vellore,Veeramani.K.C.,All India Anna Dravida Munnetra Kazhagam,"2,22,146","1,79,601",80.80%,10991,6.10%,
Tirupattur,50,GEN,Vellore,Nallathambi. A,Dravida Munetra Kazhagam,"2,26,179","1,76,650",78.10%,7647,4.30%,
Uthangarai,51,SC,Krishnagiri,N.Manoranjitham,All India Anna Dravida Munnetra Kazhagam,"2,17,792","1,78,899",82.10%,2613,1.50%,
Bargur,52,GEN,Krishnagiri,V.Rajendran,All India Anna Dravida Munnetra Kazhagam,"2,26,603","1,86,674",82.40%,982,0.50%,
Krishnagiri,53,GEN,Krishnagiri,Senguttuvan.T,Dravida Munetra Kazhagam,"2,44,487","1,98,237",81.10%,4891,2.50%,
Veppanahalli,54,GEN,Krishnagiri,Murugan P,Dravida Munetra Kazhagam,"2,26,937","1,91,843",84.50%,5228,2.70%,
Hosur,55,GEN,Krishnagiri,Balakrishna Reddy P,All India Anna Dravida Munnetra Kazhagam,"2,96,779","2,11,786",71.40%,22964,10.80%,
Thalli,56,GEN,Krishnagiri,Prakaash Y.,Dravida Munetra Kazhagam,"2,28,512","1,86,900",81.80%,6245,3.30%,
Palacode,57,GEN,Dharmapuri,Anbalagan. K.P.,All India Anna Dravida Munnetra Kazhagam,"2,11,355","1,86,887",88.40%,5983,3.20%,
Pennagaram,58,GEN,Dharmapuri,Inbasekaran. P.N.P.,Dravida Munetra Kazhagam,"2,26,254","1,97,554",87.30%,18446,9.30%,
Dharmapuri,59,GEN,Dharmapuri,Subramani. P.,Dravida Munetra Kazhagam,"2,50,333","2,05,225",82.00%,9676,4.70%,
Pappireddippatti,60,GEN,Dharmapuri,Palaniyappan. P,All India Anna Dravida Munnetra Kazhagam,"2,43,140","2,07,287",85.30%,12713,6.10%,
Harur,61,SC,Dharmapuri,R.Murugan,All India Anna Dravida Munnetra Kazhagam,"2,25,231","1,88,042",83.50%,11421,6.10%,
Chengam,62,SC,Tiruvannamalai,Giri .M.P,Dravida Munetra Kazhagam,"2,48,143","2,09,000",84.20%,12691,6.10%,
Tiruvannamalai,63,GEN,Tiruvannamalai,Velu E.V.,Dravida Munetra Kazhagam,"2,55,353","2,02,022",79.10%,50348,24.90%,
Kilpennathur,64,GEN,Tiruvannamalai,Pitchandi K,Dravida Munetra Kazhagam,"2,34,104","1,96,123",83.80%,34666,17.70%,
Kalasapakkam,65,GEN,Tiruvannamalai,Panneerselvam V,All India Anna Dravida Munnetra Kazhagam,"2,18,565","1,84,349",84.30%,26414,14.30%,
Polur,66,GEN,Tiruvannamalai,Sekaran.K.V,Dravida Munetra Kazhagam,"2,25,566","1,94,484",86.20%,8273,4.30%,
Arani,67,GEN,Tiruvannamalai,Ramachandran S,All India Anna Dravida Munnetra Kazhagam,"2,55,752","2,07,796",81.20%,7327,3.50%,
Cheyyar,68,GEN,Tiruvannamalai,Mohan K,All India Anna Dravida Munnetra Kazhagam,"2,43,709","2,03,565",83.50%,8527,4.20%,
Vandavasi,69,SC,Tiruvannamalai,Ambethkumar S,Dravida Munetra Kazhagam,"2,23,241","1,79,055",80.20%,18068,10.10%,
Gingee,70,GEN,Viluppuram,Masthan K S,Dravida Munetra Kazhagam,"2,50,191","1,98,698",79.40%,22057,11.10%,
Mailam,71,GEN,Viluppuram,Masilamani R,Dravida Munetra Kazhagam,"2,10,950","1,69,489",80.30%,12306,7.30%,
Tindivanam,72,SC,Viluppuram,Seethapathy P,Dravida Munetra Kazhagam,"2,20,510","1,73,038",78.50%,101,0.10%,
Vanur,73,SC,Viluppuram,Chakrapani M,All India Anna Dravida Munnetra Kazhagam,"2,20,293","1,72,998",78.50%,10223,5.90%,
Villupuram,74,GEN,Viluppuram,Shanmugam C Ve,All India Anna Dravida Munnetra Kazhagam,"2,45,110","1,87,263",76.40%,22291,11.90%,
Vikravandi,75,GEN,Viluppuram,Rathamani.K,Dravida Munetra Kazhagam,"2,17,174","1,77,252",81.60%,6912,3.90%,
Tirukkoyilur,76,GEN,Viluppuram,Ponmudy K,Dravida Munetra Kazhagam,"2,38,318","1,86,328",78.20%,41057,22.00%,
Ulundurpettai,77,GEN,Viluppuram,Kumaraguru R.,All India Anna Dravida Munnetra Kazhagam,"2,72,569","2,26,647",83.20%,4164,1.80%,
Rishivandiyam,78,GEN,Viluppuram,Karthikeyan.K,Dravida Munetra Kazhagam,"2,47,152","1,95,830",79.20%,20503,10.50%,
Sankarapuram,79,GEN,Viluppuram,Udhayasuriyan.T,Dravida Munetra Kazhagam,"2,51,971","2,02,263",80.30%,14528,7.20%,
Kallakurichi,80,SC,Viluppuram,Prabhu A,All India Anna Dravida Munnetra Kazhagam,"2,64,413","2,10,711",79.70%,4104,1.90%,
Gangavalli,81,SC,Salem,Maruthamuthu.A,All India Anna Dravida Munnetra Kazhagam,"2,17,595","1,74,215",80.10%,2262,1.30%,
Attur,82,SC,Salem,Chinnathambi R M,All India Anna Dravida Munnetra Kazhagam,"2,32,681","1,84,046",79.10%,17334,9.40%,
Yercaud,83,ST,Salem,Chitra.G,All India Anna Dravida Munnetra Kazhagam,"2,58,758","2,19,430",84.80%,17394,7.90%,
Omalur,84,GEN,Salem,Vetrivel.S,All India Anna Dravida Munnetra Kazhagam,"2,66,164","2,25,556",84.70%,19956,8.80%,
Mettur,85,GEN,Salem,Semmalai.S,All India Anna Dravida Munnetra Kazhagam,"2,62,849","2,05,745",78.30%,6282,3.10%,
Edappadi,86,GEN,Salem,Palaniswami. K,All India Anna Dravida Munnetra Kazhagam,"2,61,712","2,23,731",85.50%,42022,18.80%,
Sankari,87,GEN,Salem,Raja.S,All India Anna Dravida Munnetra Kazhagam,"2,56,471","2,12,929",83.00%,37374,17.60%,
Salem (West),88,GEN,Salem,Venkatachalam.G,All India Anna Dravida Munnetra Kazhagam,"2,70,641","1,99,371",73.70%,7247,3.60%,
Salem (North),89,GEN,Salem,Rajendran.R,Dravida Munetra Kazhagam,"2,67,624","1,87,811",70.20%,9873,5.30%,
Salem (South),90,GEN,Salem,Sakthivel A B,All India Anna Dravida Munnetra Kazhagam,"2,63,957","1,93,768",73.40%,30453,15.70%,
Veerapandi,91,GEN,Salem,Manonmani.P,All India Anna Dravida Munnetra Kazhagam,"2,38,532","2,03,890",85.50%,14481,7.10%,
Rasipuram,92,SC,Namakkal,Saroja V. Dr,All India Anna Dravida Munnetra Kazhagam,"2,22,650","1,84,074",82.70%,9631,5.20%,
Senthamangalam,93,ST,Namakkal,Chandrasekaran C,All India Anna Dravida Munnetra Kazhagam,"2,32,916","1,87,253",80.40%,12333,6.60%,
Namakkal,94,GEN,Namakkal,Baskar. K.P.P,All India Anna Dravida Munnetra Kazhagam,"2,43,892","1,90,613",78.20%,13534,7.10%,
Paramathi-Velur,95,GEN,Namakkal,Moorthiy K S,Dravida Munetra Kazhagam,"2,10,835","1,73,648",82.40%,818,0.50%,
Tiruchengodu,96,GEN,Namakkal,Saraswathi Pon,All India Anna Dravida Munnetra Kazhagam,"2,18,127","1,74,285",79.90%,3390,1.90%,
Kumarapalayam,97,GEN,Namakkal,Thangamani P,All India Anna Dravida Munnetra Kazhagam,"2,32,414","1,83,658",79.00%,47329,25.80%,
Erode (East),98,GEN,Erode,Thennarasu K S,All India Anna Dravida Munnetra Kazhagam,"2,14,592","1,44,922",67.50%,7794,5.40%,
Erode (West),99,GEN,Erode,Ramalingam K.V.,All India Anna Dravida Munnetra Kazhagam,"2,55,003","1,85,964",72.90%,4906,2.60%,
Modakkurichi,100,GEN,Erode,Sivasubramani V.P.,All India Anna Dravida Munnetra Kazhagam,"2,21,957","1,73,953",78.40%,2222,1.30%,
Dharapuram (SC),101,SC,Erode,Kalimuthu. V.S,Indian National Congress,"2,36,823","1,80,028",76.00%,10017,5.60%,
Kangayam,102,GEN,Erode,Thaniyarasu U,All India Anna Dravida Munnetra Kazhagam,"2,31,742","1,81,287",78.20%,13135,7.20%,
Perundurai,103,GEN,Erode,Venkatachalam.N.D,All India Anna Dravida Munnetra Kazhagam,"2,10,871","1,80,272",85.50%,12771,7.10%,
Bhavani,104,GEN,Erode,Karuppanan K C,All India Anna Dravida Munnetra Kazhagam,"2,25,945","1,86,234",82.40%,24887,13.40%,
Anthiyur,105,GEN,Erode,Rajakrishnan.K.R,All India Anna Dravida Munnetra Kazhagam,"2,05,788","1,68,035",81.70%,5312,3.20%,
Gobichettipalayam,106,GEN,Erode,Sengottaiyan K.A,All India Anna Dravida Munnetra Kazhagam,"2,41,198","2,01,877",83.70%,11223,5.60%,
Bhavanisagar,107,SC,Erode,Eswaran.S,All India Anna Dravida Munnetra Kazhagam,"2,37,600","1,93,571",81.50%,13104,6.80%,
Udhagamandalam,108,GEN,The Nilgiris,Ganesh R.,Indian National Congress,"2,00,138","1,37,243",68.60%,10418,7.60%,
Gudalur,109,SC,The Nilgiris,Thiravidamani M.,Dravida Munetra Kazhagam,"1,78,142","1,29,270",72.60%,13379,10.30%,
Coonoor,110,GEN,The Nilgiris,Ramu A.,All India Anna Dravida Munnetra Kazhagam,"1,85,574","1,32,587",71.40%,3710,2.80%,
Mettuppalayam,111,GEN,Coimbatore,Chinnaraj.O.K,All India Anna Dravida Munnetra Kazhagam,"2,73,728","2,07,353",75.80%,16114,7.80%,
Avanashi (SC),112,SC,Coimbatore,Dhanapal P,All India Anna Dravida Munnetra Kazhagam,"2,48,719","1,90,528",76.60%,30674,16.10%,
Tiruppur (North),113,GEN,Coimbatore,Vijayakumar Kn,All India Anna Dravida Munnetra Kazhagam,"3,26,277","2,16,314",66.30%,37774,17.50%,
Tiruppur (South),114,GEN,Coimbatore,Gunasekaran S,All India Anna Dravida Munnetra Kazhagam,"2,46,541","1,61,721",65.60%,15933,9.90%,
Palladam,115,GEN,Coimbatore,Natarajan. A,All India Anna Dravida Munnetra Kazhagam,"3,25,238","2,34,062",72.00%,32174,13.70%,
Sulur,116,GEN,Coimbatore,Kanagaraj R.,All India Anna Dravida Munnetra Kazhagam,"2,79,722","2,09,433",74.90%,36631,17.50%,
Kavundampalayam,117,GEN,Coimbatore,Arukutty V.C.,All India Anna Dravida Munnetra Kazhagam,"4,06,349","2,67,126",65.70%,8025,3.00%,
Coimbatore (North),118,GEN,Coimbatore,Arun Kumar P.R.G.,All India Anna Dravida Munnetra Kazhagam,"3,02,353","1,84,308",61.00%,7724,4.20%,
Thondamuthur,119,GEN,Coimbatore,Velumani S.P.,All India Anna Dravida Munnetra Kazhagam,"2,91,769","1,95,852",67.10%,64041,32.70%,
Coimbatore (South),120,GEN,Coimbatore,Arjunan @ Amman Arjunan K.,All India Anna Dravida Munnetra Kazhagam,"2,42,869","1,50,202",61.80%,17419,11.60%,
Singanallur,121,GEN,Coimbatore,Karthik N.,Dravida Munetra Kazhagam,"3,04,591","1,84,799",60.70%,5180,2.80%,
Kinathukadavu,122,GEN,Coimbatore,Shanmugam A.,All India Anna Dravida Munnetra Kazhagam,"2,93,432","2,04,105",69.60%,1332,0.70%,
Pollachi,123,GEN,Coimbatore,Pollachi V Jayaraman,All India Anna Dravida Munnetra Kazhagam,"2,16,097","1,66,362",77.00%,13368,8.00%,
Valparai,124,SC,Coimbatore,Kasthuri Vasu V.,All India Anna Dravida Munnetra Kazhagam,"1,95,780","1,41,537",72.30%,8244,5.80%,
Udumalaipettai,125,GEN,Coimbatore,Radhakrishnan K,All India Anna Dravida Munnetra Kazhagam,"2,50,547","1,79,611",71.70%,5687,3.20%,
Madathukulam,126,GEN,Coimbatore,Jayaramakrishnan R,Dravida Munetra Kazhagam,"2,24,447","1,69,397",75.50%,1667,1.00%,
Palani,127,GEN,Dindigul,Senthilkumar I P,Dravida Munetra Kazhagam,"2,57,546","1,96,014",76.10%,25586,13.10%,
Oddanchatram,128,GEN,Dindigul,Sakkarapani R,Dravida Munetra Kazhagam,"2,23,628","1,88,140",84.10%,65727,34.90%,
Athoor,129,GEN,Dindigul,Periyasamy I,Dravida Munetra Kazhagam,"2,69,948","2,27,147",84.10%,27147,12.00%,
Nilakkottai,130,SC,Dindigul,Thangathurai R,All India Anna Dravida Munnetra Kazhagam,"2,16,344","1,72,722",79.80%,14776,8.60%,
Natham,131,GEN,Dindigul,Andi Ambalam M.A,Dravida Munetra Kazhagam,"2,58,472","2,05,167",79.40%,2110,1.00%,
Dindigul,132,GEN,Dindigul,Sreenivasan C,All India Anna Dravida Munnetra Kazhagam,"2,47,238","1,82,636",73.90%,20719,11.30%,
Vedasandur,133,GEN,Dindigul,Paramasivam V.P.B,All India Anna Dravida Munnetra Kazhagam,"2,46,896","1,96,302",79.50%,19938,10.20%,
Karur,135,GEN,Karur,Vijayabhaskar .M.R,All India Anna Dravida Munnetra Kazhagam,"2,31,209","1,83,218",79.20%,441,0.20%,
Krishnarayapuram,136,SC,Karur,Geetha M.,All India Anna Dravida Munnetra Kazhagam,"2,02,913","1,63,817",80.70%,35301,21.50%,
Kulithalai,137,GEN,Tiruchirappalli,Ramar .E,Dravida Munetra Kazhagam,"2,07,792","1,82,170",87.70%,11896,6.50%,
Manapparai,138,GEN,Tiruchirappalli,Chandrasekar R,All India Anna Dravida Munnetra Kazhagam,"2,61,856","2,02,592",77.40%,18277,9.00%,
Srirangam,139,GEN,Tiruchirappalli,Valarmathi.S,All India Anna Dravida Munnetra Kazhagam,"2,81,063","2,21,279",78.70%,14409,6.50%,
Tiruchirappalli (West),140,GEN,Tiruchirappalli,Nehru.K.N,Dravida Munetra Kazhagam,"2,53,551","1,75,323",69.10%,28415,16.20%,
Tiruchirappalli (East),141,GEN,Tiruchirappalli,Natarajan .N.,All India Anna Dravida Munnetra Kazhagam,"2,40,767","1,62,656",67.60%,21894,13.50%,
Thiruverumbur,142,GEN,Tiruchirappalli,Anbil Mahesh Poyyamozhi,Dravida Munetra Kazhagam,"2,67,527","1,80,292",67.40%,16695,9.30%,
Lalgudi,143,GEN,Tiruchirappalli,Soundarapandian A,Dravida Munetra Kazhagam,"2,01,236","1,64,601",81.80%,3837,2.30%,
Manachanallur,144,GEN,Tiruchirappalli,Parameswari. M,All India Anna Dravida Munnetra Kazhagam,"2,17,178","1,77,694",81.80%,7522,4.20%,
Musiri,145,GEN,Tiruchirappalli,Selvarasu M,All India Anna Dravida Munnetra Kazhagam,"2,11,512","1,68,424",79.60%,32087,19.10%,
Thuraiyur,146,SC,Tiruchirappalli,Stalinkumar .S,Dravida Munetra Kazhagam,"2,10,511","1,66,888",79.30%,8068,4.80%,
Perambalur,147,SC,Perambalur,R.Thamizhselvan,All India Anna Dravida Munnetra Kazhagam,"2,75,932","2,20,233",79.80%,6853,3.10%,
Kunnam,148,GEN,Perambalur,R.T.Ramachandran,All India Anna Dravida Munnetra Kazhagam,"2,54,896","2,02,020",79.30%,18796,9.30%,
Ariyalur,149,GEN,Perambalur,Rajendran. S,All India Anna Dravida Munnetra Kazhagam,"2,47,475","2,09,182",84.50%,2043,1.00%,
Jayankondam,150,GEN,Perambalur,Ramajeyalingam.J.K.N,All India Anna Dravida Munnetra Kazhagam,"2,50,259","2,02,088",80.80%,22934,11.30%,
Tittagudi (SC),151,SC,Cuddalore,Ganesan V,Dravida Munetra Kazhagam,"2,06,909","1,58,219",76.50%,2212,1.40%,
Vridhachalam,152,GEN,Cuddalore,Kalaiselvan V T,All India Anna Dravida Munnetra Kazhagam,"2,32,531","1,82,870",78.60%,13777,7.50%,
Neyveli,153,GEN,Cuddalore,Saba.Rajendran,Dravida Munetra Kazhagam,"2,00,260","1,57,531",78.70%,17791,11.30%,
Panruti,154,GEN,Cuddalore,Sathya.P,All India Anna Dravida Munnetra Kazhagam,"2,26,590","1,83,477",81.00%,3128,1.70%,
Cuddalore,155,GEN,Cuddalore,Sampath M C,All India Anna Dravida Munnetra Kazhagam,"2,28,538","1,70,626",74.70%,24413,14.30%,
Kurinjipadi,156,GEN,Cuddalore,Panneerselvam Mrk,Dravida Munetra Kazhagam,"2,21,868","1,86,664",84.10%,28108,15.10%,
Bhuvanagiri,157,GEN,Cuddalore,Saravanan Durai K.,Dravida Munetra Kazhagam,"2,38,798","1,89,722",79.40%,5488,2.90%,
Chidambaram,158,GEN,Cuddalore,Pandian K A,All India Anna Dravida Munnetra Kazhagam,"2,28,166","1,68,905",74.00%,1506,0.90%,
Kattumannarkoil(SC),159,SC,Cuddalore,Murugumaran.N,All India Anna Dravida Munnetra Kazhagam,"2,10,687","1,64,161",77.90%,87,0.10%,
Sirkazhi,160,SC,Nagapattinam,Bharathi.P.V,All India Anna Dravida Munnetra Kazhagam,"2,31,842","1,76,325",76.10%,9003,5.10%,
Mayiladuthurai,161,GEN,Nagapattinam,Rathakrishnan.V,All India Anna Dravida Munnetra Kazhagam,"2,34,079","1,67,168",71.40%,4778,2.90%,
Poompuhar,162,GEN,Nagapattinam,Pavunraj.S,All India Anna Dravida Munnetra Kazhagam,"2,56,713","1,91,280",74.50%,19935,10.40%,
Nagapattinam,163,GEN,Nagapattinam,Thamimun Ansari.M,All India Anna Dravida Munnetra Kazhagam,"1,84,181","1,33,443",72.50%,20550,15.40%,
Kilvelur,164,SC,Nagapattinam,Mathivanan.U,Dravida Munetra Kazhagam,"1,63,189","1,36,880",83.90%,10170,7.40%,
Vedaranyam,165,GEN,Nagapattinam,Manian.O.S,All India Anna Dravida Munnetra Kazhagam,"1,81,787","1,45,597",80.10%,22998,15.80%,
Thiruthuraipoondi,166,SC,Thiruvarur,Adalarasan. P,Dravida Munetra Kazhagam,"2,22,380","1,73,852",78.20%,13250,7.60%,
Mannargudi,167,GEN,Thiruvarur,Rajaa.T.R.B,Dravida Munetra Kazhagam,"2,40,899","1,85,336",76.90%,9937,5.40%,
Thiruvarur,168,GEN,Thiruvarur,Karunanidhi .M,Dravida Munetra Kazhagam,"2,52,466","1,94,618",77.10%,68366,35.10%,
Nannilam,169,GEN,Thiruvarur,Kamaraj. R,All India Anna Dravida Munnetra Kazhagam,"2,53,096","2,01,972",79.80%,21276,10.50%,
Thiruvidaimarudur,170,SC,Thanjavur,Chezhiaan.Govi,Dravida Munetra Kazhagam,"2,33,519","1,83,030",78.40%,532,0.30%,
Kumbakonam,171,GEN,Thanjavur,G.Anbalagan,Dravida Munetra Kazhagam,"2,46,071","1,86,234",75.70%,8457,4.50%,
Papanasam,172,GEN,Thanjavur,Doraikkannu .R,All India Anna Dravida Munnetra Kazhagam,"2,38,119","1,80,637",75.90%,24365,13.50%,
Thiruvaiyaru,173,GEN,Thanjavur,Durai.Chandrasekaran,Dravida Munetra Kazhagam,"2,48,188","2,01,043",81.00%,14343,7.10%,
Orathanadu,175,GEN,Thanjavur,Ramchandran. M,Dravida Munetra Kazhagam,"2,26,104","1,78,141",78.80%,3645,2.00%,
Pattukkottai,176,GEN,Thanjavur,Sekar. V,All India Anna Dravida Munnetra Kazhagam,"2,26,518","1,64,349",72.60%,12358,7.50%,
Peravurani,177,GEN,Thanjavur,Govindarasu M,All India Anna Dravida Munnetra Kazhagam,"2,04,407","1,60,603",78.60%,995,0.60%,
Gandharvakottai,178,SC,Pudukkottai,Arumugam.B,All India Anna Dravida Munnetra Kazhagam,"1,84,576","1,44,534",78.30%,3047,2.10%,
Viralimalai,179,GEN,Pudukkottai,Vijaya Baskar C,All India Anna Dravida Munnetra Kazhagam,"1,99,103","1,69,474",85.10%,8447,5.00%,
Pudukkottai,180,GEN,Pudukkottai,Periyannan Arassu,Dravida Munetra Kazhagam,"2,26,029","1,68,645",74.60%,2084,1.20%,
Thirumayam,181,GEN,Pudukkottai,Regupathy S,Dravida Munetra Kazhagam,"2,05,506","1,56,654",76.20%,766,0.50%,
Alangudi,182,GEN,Pudukkottai,Meyyanathan .Siva .V,Dravida Munetra Kazhagam,"1,96,502","1,57,028",79.90%,9941,6.30%,
Aranthangi,183,GEN,Pudukkottai,Rathinasabhapathy E,All India Anna Dravida Munnetra Kazhagam,"2,11,467","1,53,822",72.70%,2291,1.50%,
Karaikudi,184,GEN,Sivaganga,Ramasamy Kr,Indian National Congress,"2,82,460","1,98,667",70.30%,18283,9.20%,
Tiruppattur,185,GEN,Sivaganga,Periakaruppan Kr,Dravida Munetra Kazhagam,"2,65,915","1,96,751",74.00%,42004,21.30%,
Sivaganga,186,GEN,Sivaganga,Baskaran.G,All India Anna Dravida Munnetra Kazhagam,"2,71,108","1,87,812",69.30%,6636,3.50%,
Manamadurai,187,SC,Sivaganga,Mariappankennady S,All India Anna Dravida Munnetra Kazhagam,"2,53,688","1,83,329",72.30%,14889,8.10%,
