ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Gummidipoondi,1,GEN,Thiruvallur,Vijayakumar K S,All India Anna Dravida Munnetra Kazhagam,"2,59,194","2,12,864",82.10%,23395,11.00%,
Ponneri,2,SC,Thiruvallur,Balaraman P,All India Anna Dravida Munnetra Kazhagam,"2,47,430","1,95,364",79.00%,19336,9.90%,
Tiruttani,3,GEN,Thiruvallur,Narasimhan P M,All India Anna Dravida Munnetra Kazhagam,"2,73,887","2,20,333",80.40%,23141,10.50%,
Thiruvallur,4,GEN,Thiruvallur,Raajendran V G,Dravida Munetra Kazhagam,"2,54,359","2,04,826",80.50%,5138,2.50%,
Poonamallee,5,SC,Thiruvallur,Elumalai T A,All India Anna Dravida Munnetra Kazhagam,"3,09,083","2,36,722",76.60%,11763,5.00%,
Avadi,6,GEN,Thiruvallur,Pandia Rajan K,All India Anna Dravida Munnetra Kazhagam,"3,87,261","2,65,738",68.60%,1395,0.50%,
Maduravoyal,7,GEN,Thiruvallur,Benjamin P,All India Anna Dravida Munnetra Kazhagam,"3,91,693","2,41,942",61.80%,8402,3.50%,
Ambattur,8,GEN,Thiruvallur,Alexander V,All India Anna Dravida Munnetra Kazhagam,"3,53,518","2,24,029",63.40%,17498,7.80%,
Madavaram,9,GEN,Thiruvallur,Sudharsanam S,Dravida Munetra Kazhagam,"3,97,265","2,64,427",66.60%,15253,5.80%,
Thiruvottiyur,10,GEN,Thiruvallur,Samy.K.P.P,Dravida Munetra Kazhagam,"2,86,872","1,87,144",65.20%,4863,2.60%,
Dr.Radhakrishnan Nagar,11,GEN,Chennai,Jayalalithaa J,All India Anna Dravida Munnetra Kazhagam,"2,55,198","1,71,142",67.10%,39545,23.10%,
Perambur,12,GEN,Chennai,P Vetrivel,All India Anna Dravida Munnetra Kazhagam,"2,88,901","1,85,514",64.20%,519,0.30%,
Kolathur,13,GEN,Chennai,M.K.Stalin,Dravida Munetra Kazhagam,"2,61,913","1,64,754",62.90%,37730,22.90%,
Villivakkam,14,GEN,Chennai,B. Ranganathan,Dravida Munetra Kazhagam,"2,52,292","1,46,675",58.10%,9321,6.40%,
Thiru-Vi-Ka-Nagar,15,SC,Chennai,Sivakumar P @ Thayagam Kavi,Dravida Munetra Kazhagam,"2,15,120","1,33,765",62.20%,3322,2.50%,
Egmore,16,SC,Chennai,Ravichandran K.S,Dravida Munetra Kazhagam,"1,90,949","1,17,795",61.70%,10679,9.10%,
Royapuram,17,GEN,Chennai,Jayakumar D,All India Anna Dravida Munnetra Kazhagam,"1,86,386","1,19,769",64.30%,8031,6.70%,
Harbour,18,GEN,Chennai,Sekar Babu P K,Dravida Munetra Kazhagam,"1,82,820","1,02,137",55.90%,4836,4.70%,
Chepauk-Thiruvallikeni,19,GEN,Chennai,J.Anbazhagan,Dravida Munetra Kazhagam,"2,25,920","1,40,171",62.00%,14164,10.10%,
Thousand Lights,20,GEN,Chennai,Selvam Ku. Ka,Dravida Munetra Kazhagam,"2,43,386","1,38,770",57.00%,8829,6.40%,
