ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Kangayam,117,GEN,Selvi.M.,All India Anna Dravida Munnetra Kazhagam,"1,75,834","1,14,963",65.38,11274,9.80%,
Modakurichi,118,GEN,Ramasami P.C.,All India Anna Dravida Munnetra Kazhagam,"2,20,433","1,34,487",61.01,34212,25.40%,
Perundurai,119,GEN,Palanisamy. K.S.,All India Anna Dravida Munnetra Kazhagam,"1,91,912","1,24,647",64.95,31712,25.40%,
Erode,120,GEN,Thennarasu K.S.,All India Anna Dravida Munnetra Kazhagam,"3,21,070","1,82,191",56.74,24440,13.40%,
Bhavani,121,GEN,Karuppannan. K.C.,All India Anna Dravida Munnetra Kazhagam,"1,82,155","1,10,674",60.76,32859,29.70%,
Andhiyur,122,SC,Krishnan.R,Pattali Makkal Katchi,"1,73,432","98,269",56.66,18062,18.40%,
Gobichettipalayam,123,GEN,Ramaneedharan. S.S.,All India Anna Dravida Munnetra Kazhagam,"1,65,548","1,06,636",64.41,28945,27.10%,
Bhavanisagar,124,GEN,Chithambaram. P.,All India Anna Dravida Munnetra Kazhagam,"1,80,170","1,13,107",62.78,10275,9.10%,
Sathyamangalam,125,GEN,Kandasamy K.R.,All India Anna Dravida Munnetra Kazhagam,"1,74,264","1,03,947",59.65,33434,32.20%,
Coonoor,126,SC,Kandasamy K,Tamil Maanila Congress (MOOPANAR),"1,79,568","95,180",53,16644,17.50%,
Ootacamund,127,GEN,Raju H.M,Indian National Congress,"1,84,958","95,567",51.67,29090,30.40%,
Gudalur,128,GEN,A. Miller,All India Anna Dravida Munnetra Kazhagam,"2,29,078","1,37,290",59.93,32693,23.80%,
Palani,129,SC,Chinnasamy .M,All India Anna Dravida Munnetra Kazhagam,"1,87,939","1,14,389",60.86,20487,17.90%,
Oddanchatram,130,GEN,Chakkarapani. Ara.,Dravida Munetra Kazhagam,"1,76,900","1,14,010",64.45,1369,1.20%,
Periyakulam,131,GEN,Panneer Selvam O,All India Anna Dravida Munnetra Kazhagam,"2,03,946","1,14,486",56.14,17920,15.70%,
Theni,132,GEN,Ganesan D,All India Anna Dravida Munnetra Kazhagam,"1,99,675","1,22,979",61.59,13861,11.30%,
Bodinayakkanur,133,GEN,Ramaraj.S,All India Anna Dravida Munnetra Kazhagam,"1,81,022","1,06,957",59.09,11278,10.50%,
Cumbum,134,GEN,Ramachandran O.R,Tamil Maanila Congress (MOOPANAR),"1,82,109","1,12,013",61.51,4386,3.90%,
Andipatti,135,GEN,Thanga Tamil Selvan,All India Anna Dravida Munnetra Kazhagam,"1,91,451","1,13,150",59.1,25009,22.10%,
Sedapatti,136,GEN,Durairaj C.,All India Anna Dravida Munnetra Kazhagam,"1,48,582","95,564",64.32,18435,19.30%,
Thirumangalam,137,GEN,Kalimuthu K,All India Anna Dravida Munnetra Kazhagam,"1,68,403","1,10,277",65.48,18162,16.50%,
Usilampatti,138,GEN,Santhanam.L,All India Forward Bloc,"1,64,821","90,601",54.97,9067,10.00%,
Nilakottai,139,SC,Anbazhagan.G,All India Anna Dravida Munnetra Kazhagam,"1,75,612","1,06,325",60.55,31494,29.60%,
Sholavandan,140,GEN,Rajangam .V.R.,All India Anna Dravida Munnetra Kazhagam,"1,55,871","1,05,445",67.65,19841,18.80%,
Tirupparankundram,141,GEN,Seenivel S.M.,All India Anna Dravida Munnetra Kazhagam,"3,03,674","1,69,993",55.98,9127,5.40%,
Madurai West,142,GEN,Valarmathijebaraj.,All India Anna Dravida Munnetra Kazhagam,"2,05,790","1,00,854",49.01,708,0.70%,
Madurai Central,143,GEN,Hakeem.M.A,Tamil Maanila Congress (MOOPANAR),"1,41,907","73,917",52.09,147,0.20%,
Madurai East,144,GEN,Nanmaran .N,Communist Party Of India (MARXIST),"1,36,526","74,982",54.92,5304,7.10%,
Samayanallur,145,SC,Ponnampalam P.,All India Anna Dravida Munnetra Kazhagam,"3,54,936","1,84,293",51.92,19924,10.80%,
Melur,146,GEN,Samy.R,All India Anna Dravida Munnetra Kazhagam,"1,88,821","1,25,244",66.33,26838,21.40%,
Natham,147,GEN,Viswanathan.R.,All India Anna Dravida Munnetra Kazhagam,"1,81,487","1,12,595",62.04,10602,9.40%,
Dindigul,148,GEN,Nagalakshimi .K.,Communist Party Of India (MARXIST),"2,79,805","1,49,977",53.6,2779,1.90%,
Athoor,149,GEN,Natarajaan. P.K.T.,All India Anna Dravida Munnetra Kazhagam,"2,12,758","1,30,393",61.29,3606,2.80%,
Vedasandur,150,GEN,Andivel.P,All India Anna Dravida Munnetra Kazhagam,"2,16,457","1,33,483",61.67,19126,14.30%,
Aravakurichi,151,GEN,Liyaudeen Sait E.A,All India Anna Dravida Munnetra Kazhagam,"1,76,820","1,07,303",60.68,18326,17.10%,
Karur,152,GEN,Sivasubramanian.T.N.,Indian National Congress,"2,39,674","1,53,808",64.17,23438,15.20%,
Krishnarayapuram,153,SC,Sasikala R.,All India Anna Dravida Munnetra Kazhagam,"1,76,754","1,16,303",65.8,21549,18.50%,
Marungapuri,154,GEN,Chelliah.V.A,All India Anna Dravida Munnetra Kazhagam,"1,92,283","1,21,772",63.33,25272,20.80%,
Kulithalai,155,GEN,Pappasundaram.A,All India Anna Dravida Munnetra Kazhagam,"1,79,980","1,25,846",69.92,16766,13.30%,
Thottiam,156,GEN,Annavi .P,All India Anna Dravida Munnetra Kazhagam,"1,74,589","1,16,355",66.65,13148,11.30%,
Uppiliapuram,157,ST,Sarojaa R.,All India Anna Dravida Munnetra Kazhagam,"1,87,653","1,16,533",62.1,12351,10.60%,
Musiri,158,GEN,Malliga C.,All India Anna Dravida Munnetra Kazhagam,"2,07,941","1,37,655",66.2,1994,1.40%,
Lalgudi,159,GEN,Balan .S.M.,All India Anna Dravida Munnetra Kazhagam,"1,84,259","1,23,731",67.15,1610,1.30%,
Perambalur,160,SC,Rajarethinam.P,All India Anna Dravida Munnetra Kazhagam,"2,02,003","1,25,873",62.31,20004,15.90%,
Varahur,161,SC,Arunachalam.A,All India Anna Dravida Munnetra Kazhagam,"1,78,455","1,15,732",64.85,13904,12.00%,
