ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Nilakottai,135,,,A. Muniyandi,DMK,63127,"38,583",61.12,"24,544",38.88
Sholavandan,136,,,P. S. Maniyan,DMK,78316,"43,254",55.23,"35,062",44.77
Thiruparankundram,137,,,Kaverimaniam C.,DMK,77584,"39,110",50.41,"38,474",49.59
Madurai West,138,,,K. T. K. Thangamani,CPI,85420,"40,899",47.88,"44,521",52.12
Madurai Central,139,,,K. Thirupathy,DMK,63200,"30,905",48.9,"32,295",51.1
Madurai East,140,,,K. Ramakrishnan K. S.,DMK,63186,"27,884",44.13,"35,302",55.87
Melur (South),141,,,O. P. Raman,DMK,76684,"45,090",58.8,"31,594",41.2
Melur (North),142,,,P. Malaichamy,DMK,74540,"37,337",50.09,"37,203",49.91
Vadamadurai,143,,,Nagarajan. K,DMK,61258,"35,989",58.75,"25,269",41.25
Dindigul,144,,,Sundaram Pillai O. N.,INC,69786,"27,775",39.8,"42,011",60.2
Athoor,145,,,A. M. T. Nachiappan,DMK,70678,"42,195",59.7,"28,483",40.3
Vedasandur,146,,,P. Muthusamy,DMK,67822,"36,746",54.18,"31,076",45.82
Aravakurichi,147,,,Abdul Jabbar,IUML,56845,"34,164",60.1,"22,681",39.9
Karur,148,,,S. Nallasamy,DMK,81303,"45,977",56.55,"35,326",43.45
Thottiyam,149,,,S. K. Vadivelu,DMK,77397,"39,821",51.45,"37,576",48.55
Musiri,150,,,P. S. Muthuselvan,DMK,64636,"35,091",54.29,"29,545",45.71
Uppiliyapuram,151,,,T. P. Alagamuthu,DMK,83064,"42,861",51.6,"40,203",48.4
Perambalur,152,,,J. S. Raju,DMK,70628,"39,043",55.28,"31,585",44.72
Varahur,153,,,K. Palanivelan,DMK,72539,"42,733",58.91,"29,806",41.09
Andimadam,154,,,S. Sadasiva Padayachi,DMK,74106,"39,313",53.05,"34,793",46.95
Jayankondam,155,,,A. Chinnasamy,DMK,72044,"41,627",57.78,"30,417",42.22
Ariyalur,156,,,G. Sivaperumal,DMK,75288,"48,320",64.18,"26,968",35.82
Lalgudi,157,,,Muthamil Selvan Vn.,DMK,73772,"40,213",54.51,"33,559",45.49
Srirangam,158,,,Jothi Venkatachalam,INC,70621,"36,172",51.22,"34,449",48.78
Tiruchirappalli I,159,,,V. Krishnamurthy,DMK,72363,"38,099",52.65,"34,264",47.35
Tiruchirappalli Ii,160,,,Anbil P. Dharmalingam,DMK,72826,"40,593",55.74,"32,233",44.26
Thiruverumbur,161,,,Kamaichi,DMK,81495,"43,233",53.05,"38,262",46.95
Kulithalai,162,,,M. Kandaswamy,DMK,82336,"44,198",53.68,"38,138",46.32
Krishnarayapuram,163,,,P. Soundarapandiyan,DMK,65741,"36,177",55.03,"29,564",44.97
Kadavur,164,,,Karuraigiri Muthiah,INC,61511,"31,752",51.62,"29,759",48.38
Viralimalai,165,,,Ilechezhiyan V. S.,DMK,72756,"41,813",57.47,"30,943",42.53
Thirumayam,166,,,A. Thiagarajan,DMK,72613,"38,630",53.2,"33,983",46.8
Alangudi,167,,,K. V. Subbiah,DMK,79821,"43,279",54.22,"36,542",45.78
Pudukkottai,168,,,M. Sathiamoorthy,INC,74103,"34,680",46.8,"39,423",53.2
Thiruvaiyaru,169,,,G. Elangovan,DMK,73180,"37,139",50.75,"36,041",49.25
Thanjavur,170,,,S. Natarajan,DMK,68715,"38,288",55.72,"30,427",44.28
Papanasam,171,,,N. Ganapathy,DMK,77383,"43,497",56.21,"33,886",43.79
Valangiman,172,,,N. Somasundaram,DMK,66286,"38,519",58.11,"27,767",41.89
Kumbakonam,173,,,N. Kasiraman,INC,77269,"39,755",51.45,"37,514",48.55
Aduthurai,174,,,K. Rajamanickam,DMK,78078,"40,023",51.26,"38,055",48.74
Sirkazhi,175,,,Vadivel S.,CPI,60051,"31,977",53.25,"28,074",46.75
Sembanarkoil,176,,,Sampath T. V.,DMK,60300,"33,937",56.28,"26,363",43.72
Mayiladuthurai,177,,,N. Kittappa,DMK,73606,"37,311",50.69,"36,295",49.31
Kuttalam,178,,,S. Ganesan,DMK,63736,"34,781",54.57,"28,955",45.43
Kudavasal,179,,,Periasamy Udayar K.,DMK,65554,"31,302",47.75,"34,252",52.25
Nannilam,180,,,Devandiran A,DMK,61831,"36,740",59.42,"25,091",40.58
Thiruvarur,181,,,M. Karunanithi Thazhai,DMK,64956,"30,828",47.46,"34,128",52.54
Nagapattinam,182,,,Rajamanickam,DMK,66393,"29,744",44.8,"36,649",55.2
Vedaranyam,183,,,M. Meenakshi Sundaram,DMK,65435,"41,787",63.86,"23,648",36.14
Thiruthuraipoondi,184,,,Manali Kandasami C.,CPI,64790,"40,714",62.84,"24,076",37.16
Kottur,185,,,Subbiah A. K.,CPI,64727,"47,419",73.26,"17,308",26.74
Mannargudi,186,,,Balakrishnan K.,DMK,67648,"35,211",52.05,"32,437",47.95
Orathanadu,187,,,L. Ganesan,DMK,79479,"49,269",61.99,"30,210",38.01
Gandharvakottai,188,,,Govindarasu Kalingarar,DMK,72973,"42,025",57.59,"30,948",42.41
Pattukkottai,189,,,A. R. Marimuthu,PSP,70794,"44,565",62.95,"26,229",37.05
Peravurani,190,,,Chelliah,Independent,87836,"32,025",36.46,"55,811",63.54
Aranthangi,191,,,S. Ramanathan,DMK,88375,"49,322",55.81,"39,053",44.19
Tiruppattur (Sivaganga),192,,,S. Madhavan,DMK,77167,"54,117",70.13,"23,050",29.87
Karaikudi,193,,,C. T. Chidambaram,DMK,66844,"39,986",59.82,"26,858",40.18
Tiruvadanai,194,,,Pr. Shanmugham,DMK,74405,"40,417",54.32,"33,988",45.68
Ilayangudi,195,,,Malaikannan V.,DMK,73481,"45,551",61.99,"27,930",38.01
Ramanathapuram,196,,,M. S. K. Sathyendran,DMK,62552,"40,690",65.05,"21,862",34.95
Kadaladi,197,,,C. Ramalingam,DMK,48599,"31,521",64.86,"17,078",35.14
Mudukulathur,198,,,Kadher Batcha Alias Vellaichind,Independent,55590,"18,267",32.86,"37,323",67.14
Paramakudi,199,,,T. K. Siraimeettan,DMK,72264,"42,614",58.97,"29,650",41.03
Sivaganga,200,,,S. Sethuraman,DMK,70311,"42,320",60.19,"27,991",39.81
Manamadurai,201,,,T. Soniah,DMK,74985,"42,584",56.79,"32,401",43.21
Kariapatti,202,,,Perumal A. R.,AIFB,61366,"31,499",51.33,"29,867",48.67
Aruppukottai,203,,,Sowdi Sundara Bharathi,AIFB,65327,"37,021",56.67,"28,306",43.33
Virudhunagar,204,,,P. Seenivasan,DMK,63061,"31,455",49.88,"31,606",50.12
Sattur,205,,,S. Alagu Thevar,AIFB,58831,"32,610",55.43,"26,221",44.57
Sivakasi,206,,,K. Kalimuthu,DMK,67072,"39,854",59.42,"27,218",40.58
