ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Royapuram,1,GEN,"Era, Mathivanan",Dravida Munetra Kazhagam,"1,30,238","79,438",61.00%,"17,408",21.90%,
Harbour,2,GEN,"Anbazhagan,k",Dravida Munetra Kazhagam,"1,03,285","56,718",54.90%,"30,256",53.30%,
Dr. Radhakrishnan Nagar,3,GEN,"Sarkunam, S.P.",Dravida Munetra Kazhagam,"2,20,586","1,24,521",56.50%,"43,081",34.60%,
Park Town,4,GEN,T. Rajhendherr,Dravida Munetra Kazhagam,"1,13,516","66,650",58.70%,"29,479",44.20%,
Perambur,5,SC,Chengaisivam,Dravida Munetra Kazhagam,"2,27,398","1,38,729",61.00%,"58,351",42.10%,
Purasawalkam,6,GEN,"Ranganathan,b.",Tamil Maanila Congress (MOOPANAR),"2,44,682","1,42,563",58.30%,"72,614",50.90%,
Egmore,7,SC,"Ellam Vazhuthi,i.",Dravida Munetra Kazhagam,"1,23,034","71,880",58.40%,"37,185",51.70%,
Anna Nagar,8,GEN,"Arcot Veeraswami,n.",Dravida Munetra Kazhagam,"2,89,232","1,58,012",54.60%,"69,017",43.70%,
Theagaraya Nagar,9,GEN,"Chellakumar, A.",Tamil Maanila Congress (MOOPANAR),"2,08,349","1,16,074",55.70%,"48,998",42.20%,
Thousand Lights,10,GEN,"Stalin, M.K.",Dravida Munetra Kazhagam,"1,67,016","98,048",58.70%,"44,877",45.80%,
Chepauk,11,GEN,M.Karuna Nidhi,Dravida Munetra Kazhagam,"99,303","60,886",61.30%,"35,784",58.80%,
Triplicane,12,GEN,"Nanjil Manoharan, K.",Dravida Munetra Kazhagam,"1,21,322","73,303",60.40%,"35,011",47.80%,
Mylapore,13,GEN,"Ramajayam, N.P.",Dravida Munetra Kazhagam,"2,07,825","1,20,391",57.90%,"51,804",43.00%,
Saidapet,14,GEN,"Saidai Kittu, K.",Dravida Munetra Kazhagam,"2,36,503","1,33,333",56.40%,"29,853",22.40%,
Gummidipundi,15,GEN,"Venu, K.",Dravida Munetra Kazhagam,"1,83,842","1,31,016",71.30%,"21,625",16.50%,
Ponneri,16,SC,"Sundaram, K.",Dravida Munetra Kazhagam,"2,16,818","1,47,029",67.80%,"45,391",30.90%,
Thiruvottiyur,17,GEN,"Vijayan, T.C.",Dravida Munetra Kazhagam,"3,19,663","1,85,250",58.00%,"75,022",40.50%,
Villivakkam,18,GEN,"Haroon Rasheed, J.M.",Tamil Maanila Congress (MOOPANAR),"5,51,942","2,83,155",51.30%,"1,47,747",52.20%,
Alandur,19,GEN,"Shanmugam, C.",Dravida Munetra Kazhagam,"3,16,856","1,80,518",57.00%,"75,994",42.10%,
Tambaram,20,GEN,"Vaidyalingam, M.A.",Dravida Munetra Kazhagam,"4,81,911","2,62,805",54.50%,"1,13,959",43.40%,
Tirupporur,21,SC,"Chokkalingam, G.",Dravida Munetra Kazhagam,"1,88,360","1,29,655",68.80%,"31,896",24.60%,
Chengalpattu,22,GEN,"Tamilmani, V.",Dravida Munetra Kazhagam,"1,74,487","1,20,238",68.90%,"36,805",30.60%,
Maduranthakam,23,GEN,"Venkatesan, S.K.",Dravida Munetra Kazhagam,"1,59,346","1,13,621",71.30%,"10,593",9.30%,
Acharapakkam,24,SC,"Mathivanan, S.",Dravida Munetra Kazhagam,"1,47,264","1,01,850",69.20%,"25,371",24.90%,
Uthiramerur,25,GEN,K. Sundar,Dravida Munetra Kazhagam,"1,76,287","1,30,386",74.00%,"33,092",25.40%,
Kancheepuram,26,GEN,P. Murugesan,Dravida Munetra Kazhagam,"1,98,315","1,43,548",72.40%,"32,629",22.70%,
Sriperumbudur,27,SC,"Kothandam, E.",Dravida Munetra Kazhagam,"1,86,960","1,26,372",67.60%,"36,436",28.80%,
Poonamallee,28,GEN,"Sudarsanam, D.",Tamil Maanila Congress (MOOPANAR),"2,43,536","1,49,718",61.50%,"50,511",33.70%,
Tiruvallur,29,GEN,Subramani @ C.S. Mani,Dravida Munetra Kazhagam,"1,63,199","1,12,545",69.00%,"33,254",29.50%,
Tiruttani,30,GEN,"Sivaji, E.A.P.",Dravida Munetra Kazhagam,"1,62,521","1,13,274",69.70%,"29,542",26.10%,
Pallipet,31,GEN,E.S.S. Raman,Tamil Maanila Congress (MOOPANAR),"1,60,107","1,22,711",76.60%,"58,492",47.70%,
Arkonam,32,SC,"Thamizh Chelvan, R.",Dravida Munetra Kazhagam,"1,82,670","1,28,258",70.20%,"46,820",36.50%,
