ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Sholinghur,33,GEN,"Munirathinam, A.M.",Tamil Maanila Congress (MOOPANAR),"1,68,374","1,25,824",74.70%,"33,930",27.00%,
Ranipet,34,GEN,"Gandhi, R.",Dravida Munetra Kazhagam,"2,08,349","1,45,743",70.00%,"34,127",23.40%,
Arcot,35,GEN,"Subramani, P.N.",Dravida Munetra Kazhagam,"1,53,951","1,12,965",73.40%,"26,407",23.40%,
Katpadi,36,GEN,Duraimurugan,Dravida Munetra Kazhagam,"1,81,380","1,28,108",70.60%,"41,007",32.00%,
Gudiyatham,37,GEN,"Dhanapal, V.G.",Dravida Munetra Kazhagam,"1,60,659","1,07,633",67.00%,"29,136",27.10%,
Pernambut,38,SC,V. Govindan,Dravida Munetra Kazhagam,"1,69,817","1,15,861",68.20%,"31,174",26.90%,
Vaniayambadi,39,GEN,"Abdul Latheef, M.",Dravida Munetra Kazhagam,"1,80,164","1,13,353",62.90%,"47,253",41.70%,
Natrampalli,40,GEN,R. Mahendran,Dravida Munetra Kazhagam,"1,94,832","1,36,762",70.20%,"3,221",2.40%,
Tiruppattur,41,GEN,"Shanmugam, G.",Dravida Munetra Kazhagam,"1,93,029","1,29,207",66.90%,"31,658",24.50%,
Chengam,42,SC,"Nannan, K.V.",Dravida Munetra Kazhagam,"1,56,671","1,05,150",67.10%,"26,633",25.30%,
Thandarambattu,43,GEN,"Manivarma, K.",Tamil Maanila Congress (MOOPANAR),"1,67,532","1,21,972",72.80%,"39,814",32.60%,
Tiruvannamalai,44,GEN,"Pitchandi, K.",Dravida Munetra Kazhagam,"1,88,514","1,31,131",69.60%,"52,978",40.40%,
Kalasapakkam,45,GEN,"Thiruvengadam, P.S.",Dravida Munetra Kazhagam,"1,69,589","1,26,099",74.40%,"34,530",27.40%,
Polur,46,GEN,A. Rajendran,Dravida Munetra Kazhagam,"1,59,775","1,14,126",71.40%,"24,153",21.20%,
Anaicut,47,GEN,"Gopu, C.",Dravida Munetra Kazhagam,"1,72,760","1,11,126",64.30%,"31,616",28.50%,
Vellore,48,GEN,C. Gnanasekaran,Tamil Maanila Congress (MOOPANAR),"1,94,734","1,19,809",61.50%,"60,888",50.80%,
Arni,49,GEN,R. Sivanandam,Dravida Munetra Kazhagam,"1,70,847","1,28,451",75.20%,"18,179",14.20%,
Cheyyar,50,GEN,V. Anbalagan,Dravida Munetra Kazhagam,"1,61,200","1,23,243",76.50%,"37,486",30.40%,
Vandavasi,51,SC,"Anandan, Bala",Dravida Munetra Kazhagam,"1,69,850","1,16,686",68.70%,"39,746",34.10%,
Peranamallur,52,GEN,N. Pandurangan,Dravida Munetra Kazhagam,"1,66,984","1,16,587",69.80%,"27,793",23.80%,
Melmalayanur,53,GEN,"Gnanasekar, A.",Dravida Munetra Kazhagam,"1,69,264","1,17,491",69.40%,"28,414",24.20%,
Gingee,54,GEN,T. Natarajan,Dravida Munetra Kazhagam,"1,77,082","1,25,761",71.00%,"25,434",20.20%,
Tindivanam,55,GEN,"Sedunathan, R.",Dravida Munetra Kazhagam,"1,53,450","1,05,466",68.70%,"25,380",24.10%,
Vanur,56,SC,"Marimuthu, A.",Dravida Munetra Kazhagam,"1,86,365","1,24,343",66.70%,"23,942",19.30%,
Kandamangalam,57,SC,S. Alaguvelu,Dravida Munetra Kazhagam,"1,79,154","1,23,536",69.00%,"29,995",24.30%,
Villupuram,58,GEN,Deivasigamani @ Ponmudy,Dravida Munetra Kazhagam,"1,90,500","1,33,037",69.80%,"41,586",31.30%,
Mugaiyur,59,GEN,"Sampath, A.G.",Dravida Munetra Kazhagam,"1,68,995","1,14,559",67.80%,"41,596",36.30%,
Thirunavalur,60,GEN,A.J. Manikkannan,Dravida Munetra Kazhagam,"1,55,662","1,11,728",71.80%,"12,436",11.10%,
Ulundurpet,61,SC,A. Mani,Dravida Munetra Kazhagam,"1,96,587","1,31,462",66.90%,"20,975",16.00%,
Nellikuppam,62,GEN,"Mani, A.",Dravida Munetra Kazhagam,"1,55,744","1,13,189",72.70%,"25,383",22.40%,
Cuddalore,63,GEN,E. Pugazhendhi,Dravida Munetra Kazhagam,"1,85,364","1,24,734",67.30%,"48,627",39.00%,
Panruti,64,GEN,V. Ramaswamy,Dravida Munetra Kazhagam,"1,61,495","1,24,721",77.20%,"39,130",31.40%,
Kurinjipadi,65,GEN,M.R.K. Panneerselvam,Dravida Munetra Kazhagam,"1,90,256","1,27,640",67.10%,"39,013",30.60%,
Bhuvanagiri,66,GEN,A.V. Abdul Naser,Dravida Munetra Kazhagam,"1,63,025","1,18,163",72.50%,"19,345",16.40%,
Kattumannarkoil,67,SC,"Ramalingam, E.",Dravida Munetra Kazhagam,"1,48,333","1,07,391",72.40%,"9,819",9.10%,
Chidambaram,68,GEN,S. Azhagiri,Tamil Maanila Congress (MOOPANAR),"1,51,992","1,08,429",71.30%,"29,016",26.80%,
Vridhachalam,69,GEN,Tamizharasan M.A.B.L. Kuzhandai,Dravida Munetra Kazhagam,"1,85,683","1,37,022",73.80%,"6,885",5.00%,
Mangalore,70,SC,S. Puratchimani,Tamil Maanila Congress (MOOPANAR),"1,87,325","1,27,898",68.30%,"19,288",15.10%,
Rishivandiam,71,GEN,"Sivaraj, S.",Tamil Maanila Congress (MOOPANAR),"1,64,019","1,11,090",67.70%,"40,064",36.10%,
Chinnasalem,72,GEN,R. Mookkappan,Dravida Munetra Kazhagam,"1,68,685","1,17,325",69.60%,"31,645",27.00%,
Sankarapuram,73,GEN,T. Udhayasuriyan,Dravida Munetra Kazhagam,"1,79,277","1,24,137",69.20%,"22,158",17.80%,
Hosur,74,GEN,"Venkatasamy, B.",Janata Dal,"2,12,268","1,30,286",61.40%,"1,737",1.30%,
Thalli,75,GEN,"Raja Reddi, S.",Communist Party Of India,"1,58,379","1,01,992",64.40%,"7,489",7.30%,
Kaveripattinam,76,GEN,"Venkatesan, P.V.S.",Dravida Munetra Kazhagam,"1,71,738","1,24,604",72.60%,"35,859",28.80%,
Krishnagiri,77,GEN,Kanchana Kamalanathan,Dravida Munetra Kazhagam,"1,73,839","1,12,982",65.00%,"35,611",31.50%,
Bargur,78,GEN,"Sugavanam, E.G.",Dravida Munetra Kazhagam,"1,80,024","1,24,471",69.10%,"8,366",6.70%,
Harur,79,SC,Vedammal,Dravida Munetra Kazhagam,"2,06,726","1,35,952",65.80%,"36,403",26.80%,
Morappur,80,GEN,"Mullaiventhan, V.",Dravida Munetra Kazhagam,"1,63,786","1,15,435",70.50%,"28,274",24.50%,
Palacode,81,GEN,Venkatachalam. G.L.,Dravida Munetra Kazhagam,"1,81,729","1,22,512",67.40%,"22,073",18.00%,
Dharmapuri,82,GEN,"Manokaran, K.",Dravida Munetra Kazhagam,"1,98,433","1,23,916",62.40%,"37,022",29.90%,
Pennagaram,83,GEN,"Mani, G.K.",Pattali Makkal Katchi,"1,84,582","1,19,702",64.90%,406,0.30%,
Mettur,84,GEN,"Gopal, P.",Dravida Munetra Kazhagam,"1,85,204","1,21,750",65.70%,"20,006",16.40%,
Taramangalam,85,GEN,"Govindan, P.",Pattali Makkal Katchi,"1,83,768","1,22,768",66.80%,"24,707",20.10%,
Omalur,86,GEN,"Sekaran, R.R.",Tamil Maanila Congress (MOOPANAR),"1,73,907","1,09,190",62.80%,"7,930",7.30%,
Yercaud,87,ST,"Perumal, V.",Dravida Munetra Kazhagam,"1,50,278","96,221",64.00%,"9,394",9.80%,
Salem-I,88,GEN,"Dhanapalan, K.R.G.",Dravida Munetra Kazhagam,"1,80,579","1,18,229",65.50%,"30,267",25.60%,
Salem-Ii,89,GEN,"Thangavel, A.L.",Dravida Munetra Kazhagam,"1,93,468","1,20,096",62.10%,"27,491",22.90%,
Veerapandi,90,GEN,"Arumugam, S.",Dravida Munetra Kazhagam,"2,10,273","1,45,110",69.00%,"21,151",14.60%,
Panamarathupatty,91,GEN,S.R. Sivalingam,Dravida Munetra Kazhagam,"1,73,919","1,18,574",68.20%,"13,171",11.10%,
Attur,92,GEN,"Ramasamy, A.M.",Dravida Munetra Kazhagam,"1,58,343","1,08,246",68.40%,"22,296",20.60%,
Talavasal,93,SC,"Rani, K.",Tamil Maanila Congress (MOOPANAR),"1,76,313","1,13,236",64.20%,"27,382",24.20%,
Rasipuram,94,GEN,P.R. Sundaram,All India Anna Dravida Munnetra Kazhagam,"1,73,617","1,17,097",67.40%,454,0.40%,
Sendamangalam,95,ST,"Chandrasekaran, C.",Dravida Munetra Kazhagam,"1,73,166","1,11,148",64.20%,"19,925",17.90%,
Namakkal,96,SC,"Veisamy, K.",Dravida Munetra Kazhagam,"1,96,881","1,30,230",66.10%,"38,065",29.20%,
Kapilamalai,97,GEN,"Veerappan, K.K.",Dravida Munetra Kazhagam,"1,71,394","1,19,128",69.50%,"29,710",24.90%,
Tiruchengode,98,GEN,"Arumugam, T.P.",Dravida Munetra Kazhagam,"2,75,045","1,72,197",62.60%,"42,620",24.80%,
Sankari,99,SC,"Muthu, V.",Dravida Munetra Kazhagam,"1,96,150","1,23,071",62.70%,"21,336",17.30%,
Edapadi,100,GEN,"Ganesan, I.",Pattali Makkal Katchi,"2,01,142","1,38,955",69.10%,"9,192",6.60%,
Mettupalayam,101,GEN,"Arunkumar, B.",Dravida Munetra Kazhagam,"1,95,527","1,37,235",70.20%,"30,752",22.40%,
Avanashi,102,SC,G. Elango,Dravida Munetra Kazhagam,"1,76,709","1,24,829",70.60%,"26,457",21.20%,
Thondamuthur,103,GEN,"Ramachandran, C.R.",Dravida Munetra Kazhagam,"3,00,961","1,96,110",65.20%,"62,137",31.70%,
Singanallur,104,GEN,"Palaniswamy, N.",Dravida Munetra Kazhagam,"2,43,013","1,57,889",65.00%,"58,412",37.00%,
Coimbatore West,105,GEN,"Dhandapani, C.T.",Dravida Munetra Kazhagam,"1,34,896","85,170",63.10%,"38,299",45.00%,
Coimbatore East,106,GEN,V.K. Lakshmanan,Tamil Maanila Congress (MOOPANAR),"1,53,644","92,483",60.20%,"47,686",51.60%,
Perur,107,GEN,A. Natarasan,Dravida Munetra Kazhagam,"2,56,109","1,66,192",64.90%,"57,573",34.60%,
Kinathukkadavu,108,GEN,"Shanmugham, M.",Dravida Munetra Kazhagam,"1,49,817","1,08,986",72.70%,"13,964",12.80%,
Pollachi,109,GEN,"Raju, S.",Dravida Munetra Kazhagam,"1,83,063","1,26,674",69.20%,"21,814",17.20%,
Valparai,110,SC,"Singaravelu, V.P.",Dravida Munetra Kazhagam,"1,38,911","97,777",70.40%,"25,272",25.80%,
Udumalpet,111,GEN,"Selvaraj, D.",Dravida Munetra Kazhagam,"1,86,663","1,38,211",74.00%,"24,320",17.60%,
Dharapuram,112,SC,R. Saraswathy,Dravida Munetra Kazhagam,"1,64,190","1,18,469",72.20%,"23,038",19.40%,
Vellakoil,113,GEN,"Saminathan, M.P.",Dravida Munetra Kazhagam,"1,63,720","1,20,655",73.70%,"6,914",5.70%,
Pongalur,114,GEN,"Mohan Kandaswamy, P.",Tamil Maanila Congress (MOOPANAR),"1,46,098","1,04,099",71.30%,"21,941",21.10%,
Palladam,115,GEN,"Ponmudi, S.S.",Dravida Munetra Kazhagam,"2,00,271","1,38,451",69.10%,"32,540",23.50%,
Tiruppur,116,GEN,"Subbarayan, K.",Communist Party Of India,"3,29,182","2,07,896",63.20%,"41,055",19.70%,
Kangayam,117,GEN,"Rajkumar Manraadiar, N.S.",Dravida Munetra Kazhagam,"1,67,708","1,15,906",69.10%,"26,009",22.40%,
Modakurichi,118,GEN,Subbulakshmi Jegadeesan,Dravida Munetra Kazhagam,"1,94,579","1,18,286",60.80%,"39,540",33.40%,
Perundurai,119,GEN,"Periyasamy, N.",Communist Party Of India,"1,79,713","1,26,015",70.10%,"17,551",13.90%,
Erode,120,GEN,N.K.K. Periasamy,Dravida Munetra Kazhagam,"2,83,064","1,79,152",63.30%,"47,837",26.70%,
Bhavani,121,GEN,"Balasubramanian, S.N.",Tamil Maanila Congress (MOOPANAR),"1,62,004","1,17,309",72.40%,"28,829",24.60%,
Andhiyur,122,SC,"Selvarasu, P.",Dravida Munetra Kazhagam,"1,53,654","1,02,533",66.70%,"24,994",24.40%,
Gobichettipalayam,123,GEN,"Venkidu, G.P.",Dravida Munetra Kazhagam,"1,53,403","1,14,797",74.80%,"14,729",12.80%,
Bhavanisagar,124,GEN,"Andamuthu, V.A.",Dravida Munetra Kazhagam,"1,64,250","1,20,784",73.50%,"23,451",19.40%,
Sathyamangalam,125,GEN,S.K. Rajendran,Dravida Munetra Kazhagam,"1,58,941","1,10,222",69.30%,"8,784",8.00%,
Coonoor,126,SC,"Thangavel, N.",Dravida Munetra Kazhagam,"1,61,044","1,04,145",64.70%,"35,515",34.10%,
Ootacamund,127,GEN,T. Gundan,Dravida Munetra Kazhagam,"1,65,251","1,04,500",63.20%,"47,180",45.10%,
Gudalur,128,GEN,"Mubarak, B.M.",Dravida Munetra Kazhagam,"1,99,758","1,29,672",64.90%,"45,905",35.40%,
Palani,129,SC,"Poovendhan, T.",Dravida Munetra Kazhagam,"1,80,735","1,23,176",68.20%,"36,660",29.80%,
Oddanchatram,130,GEN,"Sakkarapani, R.",Dravida Munetra Kazhagam,"1,70,995","1,18,219",69.10%,"36,823",31.10%,
Periyakulam,131,GEN,"Mookaiah, L.",Dravida Munetra Kazhagam,"1,77,436","1,18,256",66.60%,"21,907",18.50%,
Theni,132,GEN,"Alagaraja, N.R.",Tamil Maanila Congress (MOOPANAR),"1,83,063","1,28,008",69.90%,"49,144",38.40%,
Bodinayakkanur,133,GEN,"Sudalaimuthu, A.",Dravida Munetra Kazhagam,"1,69,113","1,10,170",65.10%,"26,087",23.70%,
Cumbum,134,GEN,"Ramachandran, O.R.",Tamil Maanila Congress (MOOPANAR),"1,64,465","1,12,230",68.20%,"35,740",31.80%,
Andipatti,135,GEN,"Aasiyan, P.",Dravida Munetra Kazhagam,"1,75,815","1,17,166",66.60%,"13,701",11.70%,
Sedapatti,136,GEN,G. Thalapathi,Dravida Munetra Kazhagam,"1,52,268","1,01,299",66.50%,"10,201",10.10%,
Thirumangalam,137,GEN,M. Muthuramalingam,Dravida Munetra Kazhagam,"1,65,523","1,11,909",67.60%,"28,925",25.80%,
Usilampatti,138,GEN,P.N. Vallarasu,All India Forward Bloc,"1,59,474","1,02,157",64.10%,"55,903",54.70%,
Nilakottai,139,SC,"Ponnammal, A.S.",Tamil Maanila Congress (MOOPANAR),"1,69,442","1,15,610",68.20%,"32,003",27.70%,
Sholavandan,140,GEN,L. Santhanam,Dravida Munetra Kazhagam,"1,56,506","1,11,089",71.00%,"18,808",16.90%,
Tirupparankundram,141,GEN,"Ramachandran, C.",Dravida Munetra Kazhagam,"2,68,006","1,70,422",63.60%,"61,409",36.00%,
Madurai West,142,GEN,P.T.R. Palanivel Rajan,Dravida Munetra Kazhagam,"1,71,126","1,02,133",59.70%,"44,258",43.30%,
Madurai Central,143,GEN,"Deivanayagam, A.",Tamil Maanila Congress (MOOPANAR),"1,35,876","83,953",61.80%,"17,941",21.40%,
Madurai East,144,GEN,"Velusamy, V.",Dravida Munetra Kazhagam,"1,43,887","88,921",61.80%,"19,297",21.70%,
Samayanallur,145,SC,"Selvaraj, S.",Dravida Munetra Kazhagam,"2,92,129","1,78,006",60.90%,"55,648",31.30%,
Melur,146,GEN,K.V.V. Rajamanickam,Tamil Maanila Congress (MOOPANAR),"1,89,179","1,25,295",66.20%,"44,741",35.70%,
Natham,147,GEN,M. Andi Ambalam,Tamil Maanila Congress (MOOPANAR),"1,67,867","1,15,527",68.80%,"35,636",30.80%,
Dindigul,148,GEN,"Manimaran, R.",Dravida Munetra Kazhagam,"2,30,348","1,50,648",65.40%,"65,124",43.20%,
Athoor,149,GEN,"Periasamy, I.",Dravida Munetra Kazhagam,"1,93,792","1,34,113",69.20%,"50,292",37.50%,
Vedasandur,150,GEN,S.V. Krishnan,Dravida Munetra Kazhagam,"2,16,941","1,44,224",66.50%,"20,769",14.40%,
Aravakurichi,151,GEN,"Mohammed Ismail, S.S.",Dravida Munetra Kazhagam,"1,69,837","1,12,415",66.20%,"9,094",8.10%,
Karur,152,GEN,Vasuki Murugesan,Dravida Munetra Kazhagam,"2,18,072","1,52,493",69.90%,"32,008",21.00%,
Krishnarayapuram,153,SC,S. Nagarathinam,Dravida Munetra Kazhagam,"1,70,739","1,21,497",71.20%,"15,177",12.50%,
Marungapuri,154,GEN,B.M. Senguttuvan,Dravida Munetra Kazhagam,"1,75,887","1,26,286",71.80%,"6,394",5.10%,
Kulithalai,155,GEN,R. Selvam,Dravida Munetra Kazhagam,"1,73,318","1,29,706",74.80%,"17,750",13.70%,
Thottiam,156,GEN,K. Kannaiyan,Dravida Munetra Kazhagam,"1,65,008","1,21,018",73.30%,"40,982",33.90%,
Uppiliapuram,157,ST,"Karuppusami, T.",Dravida Munetra Kazhagam,"1,70,627","1,17,574",68.90%,"34,568",29.40%,
Musiri,158,GEN,"Jothi Kannan, M.N.",Dravida Munetra Kazhagam,"1,88,570","1,39,122",73.80%,"27,768",20.00%,
Lalgudi,159,GEN,K.N. Nehru,Dravida Munetra Kazhagam,"1,67,192","1,28,580",76.90%,"59,504",46.30%,
Perambalur,160,SC,"Devarajan, M.",Dravida Munetra Kazhagam,"1,77,313","1,23,654",69.70%,"23,401",18.90%,
Varahur,161,SC,Duraisamy,Dravida Munetra Kazhagam,"1,64,523","1,14,816",69.80%,"21,151",18.40%,
Ariyalur,162,GEN,"Amaramoorthy, D.",Tamil Maanila Congress (MOOPANAR),"1,59,636","1,25,583",78.70%,"24,894",19.80%,
Andimadam,163,GEN,Rajendiran @ Deeran,Pattali Makkal Katchi,"1,43,942","1,11,237",77.30%,"13,402",12.00%,
Jayankondam,164,GEN,Ganesan K.C.,Dravida Munetra Kazhagam,"1,65,927","1,29,549",78.10%,"12,490",9.60%,
Srirangam,165,GEN,Mayavan T.P.,Dravida Munetra Kazhagam,"1,99,316","1,37,537",69.00%,"29,859",21.70%,
Tiruchirapalli-I,166,GEN,B. Baranikumar,Dravida Munetra Kazhagam,"1,20,155","77,764",64.70%,"27,510",35.40%,
Tiruchirapalli-Ii,167,GEN,Anbil Poyyamozhi,Dravida Munetra Kazhagam,"1,80,447","1,06,920",59.30%,"44,829",41.90%,
Thiruverambur,168,GEN,K. Durai,Dravida Munetra Kazhagam,"2,14,373","1,30,457",60.90%,"46,753",35.80%,
Sirkali,169,SC,M. Panneerselvam,Dravida Munetra Kazhagam,"1,57,467","1,13,403",72.00%,"29,694",26.20%,
Poompuhar,170,GEN,Mohanadasan G.,Dravida Munetra Kazhagam,"1,48,327","1,08,955",73.50%,"18,413",16.90%,
Mayuram,171,GEN,"Abul Hasan, M.M.S.",Tamil Maanila Congress (MOOPANAR),"1,51,914","1,07,912",71.00%,"34,604",32.10%,
Kuttalam,172,GEN,Kalayanam Kuttalam P.,Dravida Munetra Kazhagam,"1,57,532","1,18,316",75.10%,"25,721",21.70%,
Nannilam,173,SC,Padma,Tamil Maanila Congress (MOOPANAR),"1,60,652","1,17,573",73.20%,"35,973",30.60%,
Tiruvarur,174,SC,Asohan A.,Dravida Munetra Kazhagam,"1,69,664","1,22,821",72.40%,"44,367",36.10%,
Nagapattinam,175,GEN,G. Nizamudeen,Dravida Munetra Kazhagam,"1,54,116","1,12,171",72.80%,"19,728",17.60%,
Vedaranyam,176,GEN,Vedarathinam S.K.,Dravida Munetra Kazhagam,"1,54,906","1,21,726",78.60%,"22,792",18.70%,
Tiruthuraipundi,177,SC,Palanisami G.,Communist Party Of India,"1,72,586","1,28,397",74.40%,"53,688",41.80%,
Mannargudi,178,GEN,V. Sivapunniam,Communist Party Of India,"1,70,116","1,24,815",73.40%,"39,834",31.90%,
Pattukkottai,179,GEN,Balasubramanian P.,Dravida Munetra Kazhagam,"1,71,478","1,21,856",71.10%,"33,621",27.60%,
Peravurani,180,GEN,Thirugnanasambandam V.,Tamil Maanila Congress (MOOPANAR),"1,62,336","1,27,034",78.30%,"39,640",31.20%,
Orathanad,181,GEN,Rajamanickam P.,Dravida Munetra Kazhagam,"1,65,160","1,24,957",75.70%,"30,349",24.30%,
Thiruvonam,182,GEN,Ramachandran N.,Dravida Munetra Kazhagam,"1,76,055","1,32,082",75.00%,"31,550",23.90%,
Thanjavur,183,GEN,Ubayadullah S.N.M.,Dravida Munetra Kazhagam,"1,88,675","1,24,306",65.90%,"45,082",36.30%,
Tiruvaiyaru,184,GEN,Chandrasekaran D.,Dravida Munetra Kazhagam,"1,45,062","1,06,678",73.50%,"27,011",25.30%,
Papanasam,185,GEN,N. Karuppanna Odayar,Tamil Maanila Congress (MOOPANAR),"1,55,985","1,11,448",71.40%,"38,342",34.40%,
Valangiman,186,SC,Gomathi Srinivasan,Dravida Munetra Kazhagam,"1,37,058","1,01,318",73.90%,"20,511",20.20%,
Kumbakonam,187,GEN,Mani K.S.,Dravida Munetra Kazhagam,"1,69,247","1,17,036",69.20%,"35,310",30.20%,
Thiruvidamarudur,188,GEN,Ramalingam S.,Dravida Munetra Kazhagam,"1,66,439","1,24,480",74.80%,"41,941",33.70%,
Thirumayam,189,GEN,Chinnaiah V.,Tamil Maanila Congress (MOOPANAR),"1,81,332","1,19,164",65.70%,"11,888",10.00%,
Kolathur,190,SC,Selvaraj Alias Kavithaipithan,Dravida Munetra Kazhagam,"1,91,515","1,39,879",73.00%,"24,156",17.30%,
Pudukkottai,191,GEN,Periannan A.,Dravida Munetra Kazhagam,"1,99,005","1,46,268",73.50%,"42,783",29.20%,
Alangudi,192,GEN,Venkatachalam A.,Independent,"1,94,721","1,47,504",75.80%,652,0.40%,
Arantangi,193,GEN,"Thirunavukkarasu, S.",All India Anna Dravida Munnetra Kazhagam,"2,05,492","1,46,805",71.40%,"14,232",9.70%,
Tiruppattur,194,GEN,R. Sivaraman,Dravida Munetra Kazhagam,"1,62,346","1,08,379",66.80%,"19,277",17.80%,
Karaikudi,195,GEN,"Sundaram, N.",Tamil Maanila Congress (MOOPANAR),"2,00,521","1,26,816",63.20%,"50,384",39.70%,
Tiruvadanai,196,GEN,"Ramasamy, Kr.",Tamil Maanila Congress (MOOPANAR),"1,89,680","1,16,140",61.20%,"51,400",44.30%,
Ilayangudi,197,GEN,"Tamilkudimagan, M.",Dravida Munetra Kazhagam,"1,47,929","92,497",62.50%,"14,804",16.00%,
Sivaganga,198,GEN,"Kiruttinan Pasumpon, Tha.",Dravida Munetra Kazhagam,"1,75,572","1,11,832",63.70%,"33,001",29.50%,
Manamadurai,199,SC,"Thangamani, K.",Communist Party Of India,"1,64,936","1,06,759",64.70%,"17,770",16.60%,
Paramakudi,200,SC,"Thisaiveeran, U.",Dravida Munetra Kazhagam,"1,69,729","1,11,969",66.00%,"18,901",16.90%,
Ramanathapuram,201,GEN,"Rahmankhan, A.",Dravida Munetra Kazhagam,"1,86,156","1,24,788",67.00%,"35,891",28.80%,
Kadaladi,202,GEN,S.P. Thangavelan,Dravida Munetra Kazhagam,"1,91,186","1,13,211",59.20%,"19,970",17.60%,
Mudukulathur,203,GEN,S. Balakrishnan,Tamil Maanila Congress (MOOPANAR),"1,73,473","99,538",57.40%,"22,528",22.60%,
